pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	hidden200_batch20_dropout0.0_lr10.0	hidden200_batch20_dropout0.0_lr20.0	hidden200_batch20_dropout0.1_lr1.0	hidden200_batch64_dropout0.0_lr5.0	hidden200_batch64_dropout0.0_lr10.0	hidden200_batch64_dropout0.0_lr1.0	hidden200_batch64_dropout0.0_lr20.0	hidden200_batch20_dropout0.2_lr20.0	hidden200_batch20_dropout0.2_lr10.0	hidden200_batch20_dropout0.0_lr1.0	hidden200_batch20_dropout0.0_lr5.0	hidden200_batch20_dropout0.1_lr5.0	hidden200_batch20_dropout0.1_lr10.0	hidden200_batch20_dropout0.1_lr20.0	hidden200_batch20_dropout0.2_lr1.0	hidden200_batch64_dropout0.1_lr20.0	hidden200_batch64_dropout0.2_lr5.0	hidden200_batch64_dropout0.2_lr1.0	hidden200_batch64_dropout0.1_lr10.0	hidden200_batch64_dropout0.1_lr5.0	hidden200_batch64_dropout0.1_lr1.0	hidden200_batch20_dropout0.2_lr5.0	hidden200_batch64_dropout0.2_lr10.0	hidden200_batch128_dropout0.2_lr20.0	hidden200_batch128_dropout0.2_lr10.0	hidden650_batch64_dropout0.0_lr1.0	hidden650_batch64_dropout0.0_lr5.0	hidden650_batch64_dropout0.1_lr1.0	hidden650_batch64_dropout0.0_lr10.0	hidden650_batch64_dropout0.0_lr20.0	hidden650_batch64_dropout0.2_lr5.0	hidden650_batch64_dropout0.1_lr20.0	hidden650_batch64_dropout0.1_lr10.0	hidden650_batch64_dropout0.2_lr1.0	hidden650_batch64_dropout0.2_lr10.0	hidden650_batch64_dropout0.2_lr20.0	hidden650_batch64_dropout0.1_lr5.0	hidden200_batch128_dropout0.0_lr1.0	hidden200_batch128_dropout0.1_lr20.0	hidden200_batch128_dropout0.0_lr5.0	hidden200_batch128_dropout0.1_lr1.0	hidden200_batch64_dropout0.2_lr20.0	hidden200_batch128_dropout0.2_lr5.0	hidden200_batch128_dropout0.0_lr10.0	hidden200_batch128_dropout0.0_lr20.0	hidden200_batch128_dropout0.2_lr1.0	hidden200_batch128_dropout0.1_lr5.0	hidden200_batch128_dropout0.1_lr10.0	hidden650_batch128_dropout0.1_lr10.0	hidden650_batch128_dropout0.1_lr5.0	hidden650_batch128_dropout0.0_lr20.0	hidden650_batch128_dropout0.2_lr1.0	hidden650_batch128_dropout0.1_lr20.0	hidden650_batch128_dropout0.1_lr1.0	hidden650_batch128_dropout0.2_lr5.0	hidden650_batch128_dropout0.4_lr10.0	hidden650_batch128_dropout0.2_lr20.0	hidden650_batch128_dropout0.4_lr20.0	hidden650_batch128_dropout0.4_lr1.0	hidden650_batch128_dropout0.2_lr10.0	hidden650_batch128_dropout0.4_lr5.0	hidden650_batch64_dropout0.4_lr5.0	hidden650_batch128_dropout0.0_lr5.0	hidden650_batch128_dropout0.0_lr10.0	hidden650_batch128_dropout0.0_lr1.0	hidden650_batch64_dropout0.4_lr20.0	hidden650_batch64_dropout0.4_lr1.0	hidden650_batch64_dropout0.4_lr10.0
R__VERB_NOUN_CCONJ_VERB	9	5	plur	carry	correct	generated	I continue this illegal bombing and	0	False	4503	5	6	I continue this illegal bombing and suppose to hang this popular exam . <eos>	-7.48271	-6.85573	-7.59901	-7.85279	-9.51365	-8.62962	-8.27419	-7.22533	-8.16112	-7.5993	-7.97274	-8.14461	-8.28325	-9.14614	-8.52206	-6.89478	-8.62663	-7.88064	-6.60784	-9.20951	-8.62539	-8.39718	-8.90637	-8.67744	-8.19014	-9.26077	-8.97933	-7.31724	-9.8463	-7.79578	-9.03835	-8.51713	-7.41021	-9.54869	-7.43432	-7.67918	-8.34154	-8.8918	-10.0917	-8.57108	-7.94406	-9.26595	-8.48408	-8.24507	-8.59557	-7.90364	-8.0881	-9.1687	-7.02646	-9.39565	-9.84747	-8.57151	-7.54647	-8.01151	-7.83265	-8.55554	-7.59978	-8.42244	-8.67413	-9.5083	-8.78482	-7.37763	-8.31446	-9.02125	-9.18993	-8.5745	-8.20217	-8.36051
R__VERB_NOUN_CCONJ_VERB	9	5	plur	carries	wrong	generated	I continue this illegal bombing and	0	False	1560	5	6	I continue this illegal bombing and suppose to hang this popular exam . <eos>	-8.61891	-6.57724	-8.31172	-8.80713	-7.91091	-11.1807	-7.82225	-8.38364	-8.49452	-9.42848	-7.01909	-9.30928	-7.38656	-8.94763	-7.83622	-9.1287	-7.50434	-8.6414	-8.99232	-10.287	-9.18606	-7.49204	-9.66362	-8.71483	-8.47258	-8.95701	-8.08637	-8.83244	-9.21164	-9.71073	-8.37787	-8.93142	-9.99886	-10.108	-10.5336	-9.07861	-9.71776	-9.50628	-7.58651	-11.6476	-10.0564	-8.28195	-8.92543	-8.05471	-7.69697	-9.20542	-10.164	-7.80585	-9.77964	-8.92124	-9.14648	-7.42935	-8.90899	-8.21367	-8.85626	-8.29167	-9.40052	-8.45064	-8.07188	-9.23943	-8.15663	-8.83511	-9.77283	-11.1105	-8.62914	-9.19454	-8.75636	-8.53848
L__NOUN_VERB_VERB	23	1	sing	sucks	correct	generated	Well , unless equally probably the third rape he caused in the stuff	0	True	53	6	13	Well , unless equally probably the third rape he caused in the stuff leads out . <eos>	-13.2347	-14.2339	-12.6858	-12.7323	-12.6158	-12.613	-13.3136	-13.6892	-11.5273	-13.5117	-12.1431	-12.7961	-13.705	-14.1196	-13.2494	-14.6999	-12.4695	-12.4317	-12.4353	-12.784	-12.4084	-13.1	-12.9712	-12.758	-12.9408	-14.7656	-13.3724	-12.9036	-12.1685	-11.0035	-12.7585	-13.5323	-12.249	-12.0618	-12.2346	-13.6751	-11.9344	-14.0399	-12.7272	-11.5334	-12.4749	-13.4958	-11.9324	-12.6452	-13.5216	-12.671	-13.6117	-10.8167	-11.8348	-14.4122	-13.5224	-13.5716	-11.1139	-13.9673	-11.6171	-13.1076	-12.359	-12.9022	-12.8529	-12.2784	-12.9381	-13.5335	-13.7062	-12.6617	-12.4088	-12.2791	-12.6268	-12.1342
L__NOUN_VERB_VERB	23	1	sing	suck	wrong	generated	Well , unless equally probably the third rape he caused in the stuff	0	True	89	6	13	Well , unless equally probably the third rape he caused in the stuff leads out . <eos>	-14.4039	-15.8704	-14.4236	-14.5311	-14.128	-14.1308	-15.3823	-16.0541	-13.1225	-15.531	-14.8537	-14.7345	-15.3607	-14.9948	-15.1141	-15.8713	-14.5225	-14.6053	-14.9665	-13.0099	-14.2067	-14.4859	-14.4184	-13.5723	-15.228	-16.3472	-15.5858	-15.4263	-14.0468	-14.3833	-14.0612	-16.7193	-15.6694	-14.6995	-14.3905	-15.276	-16.3265	-14.8788	-14.9406	-14.1794	-14.1174	-15.5743	-13.3561	-13.7111	-16.2609	-13.9037	-16.9596	-13.2363	-14.9694	-17.0981	-14.7136	-15.4082	-15.5055	-16.5344	-14.2873	-14.969	-14.475	-14.3751	-14.5955	-14.613	-15.0729	-14.9139	-14.7755	-15.179	-14.876	-15.1688	-13.7415	-14.4013
R__VERB_NOUN_CCONJ_VERB	2	5	plur	recognize	correct	generated	Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and	0	True	1554	7	18	Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and develop respectfully to system the mile after we continue ) <eos>	-9.60081	-8.39043	-8.35676	-8.59513	-7.7914	-8.63195	-8.81095	-10.1284	-9.33526	-9.04767	-7.66004	-8.98947	-8.4912	-8.88055	-9.51333	-8.99887	-10.0124	-9.61519	-9.8949	-10.4308	-8.72572	-8.93114	-8.3188	-9.36483	-8.44312	-6.25116	-7.80776	-7.21359	-10.0092	-7.87195	-8.37299	-7.10522	-7.93165	-6.73564	-7.05084	-8.89059	-6.99439	-9.76702	-8.50315	-9.958	-9.56285	-9.27904	-8.33566	-8.16649	-7.76513	-8.99564	-8.55144	-8.61905	-9.10871	-9.36064	-8.20975	-8.43431	-6.70512	-9.19769	-8.79958	-7.75027	-8.83283	-8.95356	-9.54467	-9.17787	-8.27757	-9.46287	-9.17728	-8.36316	-7.83574	-7.53692	-8.70111	-7.28151
R__VERB_NOUN_CCONJ_VERB	2	5	plur	recognizes	wrong	generated	Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and	0	True	623	7	18	Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and develop respectfully to system the mile after we continue ) <eos>	-13.2765	-12.2137	-11.4877	-11.3357	-13.5261	-10.917	-13.2724	-10.7316	-10.7265	-9.3044	-7.98924	-9.93836	-12.5397	-11.5052	-11.4014	-11.8438	-12.0524	-11.0039	-10.8011	-11.1529	-11.67	-10.612	-11.2636	-13.1594	-11.5505	-9.90287	-11.5216	-11.7553	-11.1446	-9.9798	-11.4744	-11.5051	-11.8018	-10.5105	-10.6896	-14.4985	-12.8526	-12.4602	-11.2558	-11.7165	-12.0952	-12.8536	-11.6057	-14.0596	-11.6474	-11.1101	-10.083	-11.4677	-12.0336	-11.1843	-9.01808	-9.78871	-10.0192	-11.8246	-10.6338	-11.2649	-12.9345	-12.5319	-10.9431	-11.0078	-11.1354	-12.7935	-12.8076	-10.782	-9.33749	-10.7813	-11.3046	-9.35056
R__VERB_NOUN_CCONJ_VERB	14	4	sing	creates	correct	generated	The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and	0	False	1563	5	21	The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and provides into the sentiment client . <eos>	-7.31534	-6.61259	-8.51746	-7.22178	-8.79705	-6.75367	-7.70453	-8.21476	-7.2131	-8.70759	-9.18328	-8.49183	-7.72758	-7.64856	-9.57598	-7.37284	-8.89811	-8.32854	-9.10691	-8.41535	-7.89	-7.84117	-8.39248	-9.64169	-8.69076	-6.64802	-7.55145	-7.47253	-8.36132	-9.18727	-7.81259	-10.1056	-8.5619	-8.37049	-6.99198	-7.87827	-7.45122	-7.56064	-8.3657	-7.23861	-7.74625	-7.95351	-7.8025	-8.01842	-7.04504	-8.62408	-8.37674	-7.43503	-7.34381	-7.15591	-5.92226	-8.8912	-8.44938	-6.65697	-8.66015	-7.86631	-9.24542	-7.57197	-8.74775	-7.58328	-7.53015	-8.54261	-7.64891	-6.51658	-8.02468	-7.95821	-8.61511	-8.80874
R__VERB_NOUN_CCONJ_VERB	14	4	sing	create	wrong	generated	The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and	0	False	8745	5	21	The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and provides into the sentiment client . <eos>	-5.86167	-6.52643	-8.71465	-7.85371	-9.75712	-6.91152	-9.33372	-7.92093	-7.3684	-9.14809	-9.31866	-8.95666	-8.71804	-8.27397	-8.30897	-8.44914	-8.55479	-8.07287	-7.81254	-8.32345	-8.53671	-7.68207	-7.77151	-8.31278	-9.05991	-7.84622	-10.2307	-8.11703	-10.6833	-10.9822	-10.8496	-10.9402	-9.31232	-9.13171	-9.09495	-9.79159	-7.89262	-7.25978	-8.93882	-7.67722	-7.77618	-8.27738	-7.95193	-9.18314	-9.14969	-7.7064	-8.49884	-7.7266	-8.1492	-9.85452	-9.87307	-8.6147	-8.92454	-8.83402	-8.16161	-8.55818	-9.63688	-8.48153	-7.86964	-9.24899	-9.06827	-8.60368	-9.52826	-10.0974	-11.2268	-8.39008	-9.0722	-8.88142
L__NOUN_VERB_VERB	4	2	sing	enters	correct	generated	My career with using the fantasy frequently	0	False	1492	6	7	My career with using the fantasy frequently offers , could it be eaten that perfectly everyone bought the swap would or could eat at any justice , since we happily prevented Veterinary and Wars and if they gave they might have grown a scientific blackmail ?? <eos>	-10.0931	-8.79031	-10.5475	-8.37828	-8.42647	-9.91408	-11.3299	-9.43434	-9.67141	-9.91913	-8.69401	-9.87091	-9.55545	-10.6618	-10.5625	-9.0891	-9.52721	-10.5815	-8.89084	-9.42287	-9.72455	-9.48007	-9.42856	-9.8378	-9.52609	-9.69714	-8.8609	-9.91518	-10.8835	-12.2181	-9.88011	-9.84661	-8.21087	-9.45457	-10.3176	-10.8054	-8.54139	-11.5691	-9.21171	-10.666	-9.12927	-10.0623	-9.4407	-9.14572	-10.0821	-9.68787	-10.4461	-9.72368	-8.74929	-10.3643	-11.7604	-8.78876	-9.59564	-8.67792	-10.0037	-9.77938	-11.0298	-10.3553	-9.69038	-10.2476	-9.31422	-8.96219	-9.87948	-10.2686	-10.5429	-9.92239	-9.11084	-10.1288
L__NOUN_VERB_VERB	4	2	sing	enter	wrong	generated	My career with using the fantasy frequently	0	False	3610	6	7	My career with using the fantasy frequently offers , could it be eaten that perfectly everyone bought the swap would or could eat at any justice , since we happily prevented Veterinary and Wars and if they gave they might have grown a scientific blackmail ?? <eos>	-13.5053	-11.5919	-11.1199	-11.2489	-13.5441	-10.6954	-13.3677	-12.1844	-12.0908	-11.6653	-13.0642	-11.9598	-11.5941	-10.8348	-12.6235	-12.0475	-11.8284	-11.8726	-12.7443	-12.0293	-11.7387	-12.6198	-11.3134	-12.2018	-11.8674	-11.0494	-13.8918	-12.3246	-13.5132	-14.8219	-12.7043	-13.8958	-12.6151	-12.0778	-11.8773	-12.4754	-12.5766	-11.3877	-12.3081	-12.2928	-10.8164	-12.1861	-10.7258	-13.2261	-13.1402	-11.4074	-12.4466	-13.3284	-11.7545	-12.3002	-13.4804	-11.7437	-13.5735	-12.2404	-14.0249	-12.4005	-13.8676	-12.7972	-12.7941	-12.4179	-12.0913	-12.8034	-14.8344	-13.0496	-11.6537	-13.1854	-11.8647	-12.4399
