pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	seed_hidden650_batch64_dropout0.1_lr10.0_seed9420	seed_hidden650_batch64_dropout0.1_lr10.0_seed1010	seed_hidden650_batch64_dropout0.1_lr10.0_seed1234	seed_hidden650_batch64_dropout0.1_lr10.0_seed3242	seed_hidden650_batch64_dropout0.1_lr10.0_seed8574	seed_hidden650_batch64_dropout0.1_lr10.0_seed3648	seed_hidden650_batch64_dropout0.1_lr10.0_seed11230	seed_hidden650_batch64_dropout0.2_lr20.0_seed1010	seed_hidden650_batch64_dropout0.2_lr10.0_seed9482	seed_hidden650_batch64_dropout0.2_lr20.0_seed1234	seed_hidden650_batch64_dropout0.2_lr10.0_seed5555	seed_hidden650_batch64_dropout0.2_lr10.0_seed44444	seed_hidden650_batch64_dropout0.2_lr20.0_seed9420	seed_hidden650_batch64_dropout0.2_lr10.0_seed1010	seed_hidden650_batch64_dropout0.2_lr10.0_seed9420	seed_hidden650_batch128_dropout0.2_lr10.0_seed11230	seed_hidden650_batch128_dropout0.2_lr10.0_seed3648	seed_hidden650_batch128_dropout0.2_lr10.0_seed9482	seed_hidden650_batch128_dropout0.2_lr10.0_seed8574	seed_hidden650_batch64_dropout0.2_lr20.0_seed9482	seed_hidden650_batch64_dropout0.2_lr20.0_seed11230	seed_hidden650_batch128_dropout0.1_lr20.0_seed44444	seed_hidden650_batch128_dropout0.2_lr10.0_seed1234	seed_hidden650_batch64_dropout0.1_lr10.0_seed9482	seed_hidden650_batch128_dropout0.1_lr20.0_seed1010	seed_hidden650_batch128_dropout0.1_lr20.0_seed1234	seed_hidden650_batch128_dropout0.2_lr20.0_seed1010	seed_hidden650_batch128_dropout0.2_lr10.0_seed5555	seed_hidden650_batch128_dropout0.2_lr20.0_seed1234	seed_hidden650_batch128_dropout0.2_lr10.0_seed44444	seed_hidden650_batch64_dropout0.2_lr20.0_seed3242	seed_hidden650_batch64_dropout0.2_lr20.0_seed8574	seed_hidden650_batch64_dropout0.2_lr20.0_seed3648	seed_hidden650_batch128_dropout0.2_lr20.0_seed8574	seed_hidden650_batch64_dropout0.1_lr20.0_seed11230	seed_hidden650_batch64_dropout0.1_lr20.0_seed3648	seed_hidden650_batch64_dropout0.2_lr10.0_seed1234	seed_hidden650_batch64_dropout0.1_lr20.0_seed44444	seed_hidden650_batch128_dropout0.1_lr10.0_seed9482	seed_hidden650_batch128_dropout0.2_lr20.0_seed9420	seed_hidden650_batch128_dropout0.2_lr20.0_seed3242	seed_hidden650_batch128_dropout0.1_lr10.0_seed3242	seed_hidden650_batch64_dropout0.1_lr20.0_seed5555	seed_hidden650_batch64_dropout0.1_lr20.0_seed9482	seed_hidden650_batch128_dropout0.1_lr20.0_seed5555	seed_hidden650_batch128_dropout0.1_lr10.0_seed44444	seed_hidden650_batch128_dropout0.1_lr10.0_seed5555	seed_hidden650_batch64_dropout0.2_lr10.0_seed3648	seed_hidden650_batch64_dropout0.2_lr10.0_seed8574	seed_hidden650_batch64_dropout0.2_lr10.0_seed3242	seed_hidden650_batch128_dropout0.1_lr20.0_seed9482	seed_hidden650_batch128_dropout0.2_lr10.0_seed1010	seed_hidden650_batch128_dropout0.1_lr20.0_seed11230	seed_hidden650_batch128_dropout0.2_lr10.0_seed9420	seed_hidden650_batch64_dropout0.1_lr20.0_seed8574	seed_hidden650_batch64_dropout0.1_lr20.0_seed3242	seed_hidden650_batch128_dropout0.1_lr20.0_seed3648	seed_hidden650_batch128_dropout0.1_lr20.0_seed9420	seed_hidden650_batch128_dropout0.1_lr20.0_seed8574	seed_hidden650_batch128_dropout0.2_lr10.0_seed3242	seed_hidden650_batch128_dropout0.1_lr20.0_seed3242	seed_hidden650_batch128_dropout0.1_lr10.0_seed1010	seed_hidden650_batch128_dropout0.1_lr10.0_seed8574	seed_hidden650_batch128_dropout0.1_lr10.0_seed9420	seed_hidden650_batch128_dropout0.1_lr10.0_seed3648	seed_hidden650_batch64_dropout0.2_lr20.0_seed44444	seed_hidden650_batch128_dropout0.1_lr10.0_seed11230	seed_hidden650_batch128_dropout0.1_lr10.0_seed1234	seed_hidden650_batch64_dropout0.2_lr20.0_seed5555	seed_hidden650_batch64_dropout0.1_lr20.0_seed1010	seed_hidden650_batch64_dropout0.1_lr20.0_seed1234	seed_hidden650_batch64_dropout0.1_lr10.0_seed44444	seed_hidden650_batch64_dropout0.1_lr10.0_seed5555	seed_hidden650_batch64_dropout0.1_lr20.0_seed9420	seed_hidden650_batch64_dropout0.2_lr10.0_seed11230	seed_hidden650_batch128_dropout0.2_lr20.0_seed5555	seed_hidden650_batch128_dropout0.2_lr20.0_seed11230	seed_hidden650_batch128_dropout0.2_lr20.0_seed9482	seed_hidden650_batch128_dropout0.2_lr20.0_seed3648
L__NOUN_VERB_VERB	16	7	sing	adds	correct	generated	The strongest backup you can see in Earth	0	False	932	6	8	The strongest backup you can see in Earth indicates to decide to a quantity . <eos>	-10.44	-12.5633	-12.1967	-13.712	-9.0158	-13.597	-15.969	-9.87497	-12.5029	-12.6925	-10.4104	-12.6082	-11.842	-11.788	-11.0852	-11.5896	-10.0806	-11.7971	-12.5909	-12.2399	-13.2604	-11.5612	-11.9346	-12.012	-12.8046	-11.1189	-12.7791	-11.3905	-10.3342	-11.9256	-10.4118	-10.219	-12.4967	-12.5642	-11.2952	-12.7594	-11.0465	-13.6571	-12.0279	-10.7411	-9.88944	-11.8593	-11.4803	-11.6381	-11.1911	-12.2468	-11.5562	-10.4737	-10.9749	-12.5776	-11.5852	-11.9767	-12.4632	-11.3748	-11.5135	-10.5917	-10.1175	-12.5091	-12.8328	-9.93002	-13.0192	-11.3884	-12.7596	-13.1607	-11.2025	-12.6541	-11.31	-11.4204	-11.0591	-11.3254	-12.6731	-11.8908	-10.7085	-10.9117	-12.53	-11.0685	-11.2581	-11.7361	-12.0364
L__NOUN_VERB_VERB	16	7	sing	add	wrong	generated	The strongest backup you can see in Earth	0	False	2283	6	8	The strongest backup you can see in Earth indicates to decide to a quantity . <eos>	-13.978	-11.7419	-12.8363	-14.9082	-10.4367	-11.4974	-13.5255	-11.8552	-13.2593	-13.3054	-12.5506	-13.4315	-14.1066	-12.3487	-12.3962	-13.132	-13.3543	-13.5555	-13.2284	-13.2822	-12.3913	-12.9109	-13.0889	-12.1534	-13.7573	-14.4477	-14.1901	-14.0777	-11.7777	-14.0785	-12.9575	-13.6783	-12.1816	-14.8886	-15.0122	-14.1769	-10.8245	-14.3712	-12.1396	-13.072	-11.9399	-12.4337	-12.275	-13.0091	-14.5152	-15.2055	-11.7075	-13.7591	-13.159	-13.0015	-12.268	-12.68	-13.2036	-11.352	-13.109	-13.4714	-12.7879	-12.7648	-11.8106	-12.1963	-13.5179	-12.287	-14.1581	-13.864	-12.5436	-12.3489	-11.6837	-14.7145	-12.2741	-11.6418	-14.1621	-13.4109	-12.4118	-14.1122	-12.2027	-12.189	-12.7763	-12.9166	-13.706
L__NOUN_VERB_VERB	23	9	sing	serves	correct	generated	Well , unless immensely categorically the third relationship he towed in the trap	0	True	4701	6	13	Well , unless immensely categorically the third relationship he towed in the trap comes out . <eos>	-10.7987	-10.6961	-9.78659	-11.4344	-8.97154	-11.6403	-8.61933	-9.78434	-10.1182	-10.3904	-11.4017	-8.43801	-10.6602	-10.8457	-11.212	-11.1604	-10.3608	-10.351	-11.3273	-9.36015	-9.33651	-12.2142	-9.40841	-8.71892	-8.78558	-9.59878	-11.1699	-10.1008	-10.7963	-12.4808	-9.11848	-10.262	-9.32527	-9.31012	-10.5071	-9.31953	-11.475	-11.9386	-10.8526	-10.4684	-10.167	-8.78333	-8.43206	-9.11095	-8.77984	-10.7074	-8.96636	-9.38275	-11.297	-10.0457	-9.03668	-10.2489	-9.6005	-9.6422	-10.9187	-12.4758	-10.8087	-9.68037	-11.353	-10.1814	-9.14639	-10.3077	-9.91582	-9.7962	-10.3383	-10.4016	-8.77635	-8.8217	-10.4215	-10.4772	-11.0732	-11.096	-10.7387	-9.36395	-9.6362	-11.3714	-8.7084	-9.53216	-9.89655
L__NOUN_VERB_VERB	23	9	sing	serve	wrong	generated	Well , unless immensely categorically the third relationship he towed in the trap	0	True	7238	6	13	Well , unless immensely categorically the third relationship he towed in the trap comes out . <eos>	-14.3076	-13.3537	-12.2295	-12.6623	-12.0766	-13.6546	-13.7837	-12.2946	-10.605	-13.4363	-13.4864	-9.82255	-12.5335	-11.2027	-12.8322	-11.9358	-11.3394	-13.1135	-11.7945	-13.0827	-12.1677	-13.4175	-11.6222	-12.3117	-10.8335	-11.0458	-12.3571	-12.7195	-14.2208	-13.6592	-11.244	-12.841	-10.5925	-12.2942	-12.8883	-12.4026	-13.5047	-12.807	-13.2604	-12.2137	-10.8432	-12.9248	-11.1772	-13.1994	-15.0113	-11.5191	-11.6353	-11.7799	-13.0579	-13.5766	-14.1162	-11.1536	-13.328	-12.1171	-13.6109	-13.3097	-12.7621	-11.8432	-13.6823	-11.6433	-11.12	-13.7199	-13.4962	-11.3352	-12.1012	-12.0909	-11.7764	-11.8112	-11.7018	-11.1741	-12.9747	-14.3759	-13.3034	-12.5197	-13.0829	-13.6047	-11.4787	-11.7428	-11.2431
L__NOUN_VERB_VERB	8	3	sing	delivers	correct	generated	Instead expect your victims to prepare this accidentally to their fields , and quickly aggressively , so that the panic to compel her	0	True	332	4	23	Instead expect your victims to prepare this accidentally to their fields , and quickly aggressively , so that the panic to compel her deserves already . <eos>	-12.6011	-13.0582	-14.3255	-14.0174	-13.7177	-13.8498	-16.1465	-14.0262	-13.3214	-12.1602	-14.6153	-14.4262	-12.9132	-15.4161	-11.9395	-13.5464	-11.9679	-14.0502	-14.1797	-13.6558	-13.3247	-15.0563	-12.2667	-14.026	-12.7366	-12.4001	-13.4339	-12.8573	-12.0311	-12.4114	-12.6853	-15.008	-12.1746	-12.7685	-12.7923	-14.5975	-14.1475	-10.4857	-13.6144	-13.4234	-14.3326	-13.362	-12.2792	-12.4662	-13.7032	-12.1467	-14.1971	-14.1485	-13.9098	-13.2546	-15.3485	-14.3833	-13.127	-13.6555	-13.3548	-15.7939	-14.7675	-14.3107	-11.3226	-13.4822	-13.3343	-13.4711	-14.7256	-13.3847	-14.9252	-13.728	-16.0273	-13.0071	-13.1374	-12.7328	-13.3292	-13.7429	-14.2429	-13.4123	-13.2589	-12.505	-14.5745	-12.825	-12.432
L__NOUN_VERB_VERB	8	3	sing	deliver	wrong	generated	Instead expect your victims to prepare this accidentally to their fields , and quickly aggressively , so that the panic to compel her	0	True	1395	4	23	Instead expect your victims to prepare this accidentally to their fields , and quickly aggressively , so that the panic to compel her deserves already . <eos>	-11.2275	-11.4763	-13.1634	-11.1414	-13.5727	-12.5162	-13.9794	-13.3555	-12.2821	-11.6311	-10.298	-12.282	-13.1273	-12.2374	-11.3399	-11.6819	-11.0011	-11.5524	-12.2346	-12.4361	-10.3877	-12.9944	-11.6591	-11.7611	-9.79578	-11.7067	-11.767	-12.3617	-12.6796	-10.3359	-11.2469	-12.6044	-12.1245	-10.1961	-11.2015	-12.0773	-12.6898	-12.3597	-12.8466	-12.4652	-13.7131	-11.3152	-11.3555	-11.3536	-12.2331	-11.4958	-10.9184	-11.6976	-14.0787	-12.3709	-13.1907	-12.8482	-11.3445	-13.6247	-12.7533	-12.7655	-13.7774	-13.3774	-10.5285	-11.0956	-11.9268	-13.341	-11.9861	-14.1225	-14.2207	-12.2333	-13.3084	-12.9357	-13.1882	-11.645	-11.3215	-10.9726	-13.4103	-12.7402	-11.794	-10.9225	-12.7821	-12.2446	-11.9546
L__NOUN_VERB_VERB	20	8	sing	attacks	correct	generated	The unhappy terrorism I lacked exceptionally from them in the first lady	0	False	5512	10	12	The unhappy terrorism I lacked exceptionally from them in the first lady applies because my secretive craft who admitted with them was suggesting out on his odd . <eos>	-11.0922	-11.9097	-10.2454	-10.889	-10.7017	-10.106	-10.9207	-8.76876	-12.2104	-10.6629	-11.4552	-10.0791	-12.2026	-9.92605	-11.3095	-10.4939	-13.37	-11.5717	-11.3101	-10.4524	-12.132	-9.42513	-11.4996	-12.2498	-9.92807	-8.9473	-8.81401	-11.0285	-10.4431	-10.8628	-10.5452	-8.80292	-9.97814	-9.16125	-11.6983	-9.87898	-10.4164	-8.34634	-9.67115	-11.5303	-9.09837	-12.4446	-10.4235	-9.79256	-10.4067	-8.89061	-9.17755	-10.8167	-9.13562	-8.79678	-8.79195	-8.92327	-11.1102	-10.0977	-12.7152	-11.4807	-9.46623	-11.3426	-10.0742	-9.92597	-11.1777	-10.5834	-10.8277	-13.0362	-11.0917	-9.8975	-11.5053	-10.7952	-10.5687	-11.4808	-11.556	-11.3601	-9.73246	-11.2037	-10.7703	-8.35996	-10.5346	-8.91787	-11.84
L__NOUN_VERB_VERB	20	8	sing	attack	wrong	generated	The unhappy terrorism I lacked exceptionally from them in the first lady	0	False	11547	10	12	The unhappy terrorism I lacked exceptionally from them in the first lady applies because my secretive craft who admitted with them was suggesting out on his odd . <eos>	-10.8568	-11.976	-11.6965	-10.3977	-9.60911	-9.53174	-9.73326	-9.24555	-11.7257	-10.8395	-12.3304	-10.3075	-12.8556	-9.7047	-11.3575	-11.0362	-11.2596	-10.7148	-11.5768	-12.093	-11.4247	-9.86913	-10.7862	-12.6436	-10.1762	-9.61071	-8.45508	-9.51751	-10.6144	-12.1197	-10.6657	-9.46327	-9.8886	-9.3022	-13.0823	-10.2107	-10.0679	-8.77234	-7.85189	-11.1434	-9.96165	-12.0048	-10.1177	-9.34031	-11.0546	-9.09313	-10.7028	-10.3592	-9.09468	-8.84538	-9.28908	-9.08047	-11.8253	-10.0913	-11.3529	-11.124	-9.01864	-11.4459	-9.33147	-11.2834	-10.6496	-11.5514	-10.9977	-13.6347	-10.2481	-11.1693	-11.2432	-10.6163	-10.551	-11.5868	-11.7495	-10.6161	-8.84863	-11.5453	-10.5382	-9.92534	-10.9411	-8.49891	-12.3261
L__NOUN_VERB_VERB	20	3	sing	enjoys	correct	generated	The uneven trip I moved indefinitely from them in the first budget	0	False	556	10	12	The uneven trip I moved indefinitely from them in the first budget includes because my fascinating fence who introduced with them was paying out on his apparent . <eos>	-14.4578	-16.2452	-14.8631	-15.1596	-20.547	-15.5294	-12.5757	-13.9691	-13.5887	-15.1839	-15.1837	-15.8303	-13.6247	-13.9174	-13.8925	-12.9822	-14.2267	-15.0962	-14.4218	-16.1351	-14.8802	-14.199	-14.0402	-14.548	-14.041	-15.1617	-13.9909	-14.997	-15.2822	-14.2847	-15.2391	-13.0452	-14.4315	-14.2546	-14.4044	-12.4469	-17.1236	-15.917	-12.7775	-14.3036	-12.9083	-16.0466	-13.2478	-14.842	-16.9788	-15.006	-13.6667	-13.8351	-15.4821	-17.4848	-14.383	-13.7596	-15.851	-15.493	-14.3469	-14.8265	-16.2401	-19.2637	-15.3168	-14.9436	-15.3165	-13.5726	-14.9285	-16.7146	-15.2779	-14.5824	-15.0051	-15.1526	-14.1301	-15.6596	-15.3405	-15.5111	-12.9372	-17.2549	-14.046	-14.7041	-13.3276	-14.2302	-13.7
L__NOUN_VERB_VERB	20	3	sing	enjoy	wrong	generated	The uneven trip I moved indefinitely from them in the first budget	0	False	1428	10	12	The uneven trip I moved indefinitely from them in the first budget includes because my fascinating fence who introduced with them was paying out on his apparent . <eos>	-13.1209	-15.717	-12.9083	-15.723	-16.5835	-14.35	-12.964	-12.2245	-12.9947	-13.9615	-14.8954	-12.9403	-11.6226	-13.3325	-12.168	-12.538	-11.9737	-14.1429	-12.1727	-14.8168	-14.0526	-12.6943	-13.0881	-14.5628	-14.8198	-15.6588	-12.3644	-13.1688	-12.3529	-13.6555	-14.3144	-13.841	-14.1068	-12.772	-13.6806	-13.1789	-15.0905	-12.7254	-12.5977	-13.7038	-13.2224	-15.9774	-12.5402	-13.6188	-16.3027	-13.8512	-14.8181	-12.9461	-15.0988	-15.4786	-12.1283	-13.4942	-12.7133	-15.2457	-14.7816	-14.8017	-14.2059	-15.9073	-14.5532	-13.6728	-12.9739	-12.5838	-14.2677	-14.8366	-12.4423	-14.5901	-14.2822	-13.3388	-12.5504	-12.535	-14.2677	-13.9844	-12.2129	-15.5194	-12.2615	-13.499	-12.907	-11.8694	-12.8779
L__NOUN_VERB_VERB	19	8	plur	enjoy	correct	generated	the obvious goods we suggest in our flower	1	False	1428	6	8	the obvious goods we suggest in our flower understand ; we pose theme thyroid for easter , gambling wife and statue - rat for Road . <eos>	-13.6375	-13.5922	-10.9837	-10.825	-10.8462	-12.6638	-11.6829	-9.72517	-12.2425	-10.9438	-10.2343	-11.0753	-11.4382	-12.3836	-9.91577	-10.9557	-10.3819	-11.0747	-12.3967	-10.902	-11.1335	-13.2861	-12.712	-13.8781	-11.6022	-10.7111	-10.944	-9.62072	-12.7832	-11.5144	-10.5568	-9.834	-10.7273	-11.2199	-11.2936	-11.2906	-11.2673	-10.9277	-11.356	-10.3843	-11.7083	-11.0562	-9.73692	-11.1984	-13.2351	-9.98914	-11.1586	-9.02427	-10.6564	-11.1375	-13.0777	-10.6047	-11.9333	-10.8041	-13.396	-10.3038	-10.3734	-12.2945	-13.1344	-10.5279	-13.7216	-11.0206	-10.6231	-10.0491	-10.9237	-10.6213	-10.8702	-11.9562	-9.90926	-12.6844	-13.7886	-12.2496	-10.3718	-12.0585	-11.5401	-10.3332	-9.40575	-11.575	-10.9546
L__NOUN_VERB_VERB	19	8	plur	enjoys	wrong	generated	the obvious goods we suggest in our flower	1	False	556	6	8	the obvious goods we suggest in our flower understand ; we pose theme thyroid for easter , gambling wife and statue - rat for Road . <eos>	-13.7641	-14.5876	-13.0698	-12.2824	-14.0579	-14.8656	-13.2181	-11.3998	-13.7122	-13.1864	-12.8492	-11.8956	-13.3665	-11.8811	-13.3969	-12.8086	-13.1167	-12.7534	-13.6023	-11.9823	-13.1384	-13.9407	-13.0124	-13.4624	-14.5026	-13.5376	-13.1735	-11.5809	-15.1957	-12.7271	-14.4246	-12.4677	-12.5643	-14.056	-13.7566	-12.8419	-13.1324	-13.6524	-13.7018	-12.5937	-12.6042	-14.5346	-14.3726	-13.0253	-14.4689	-13.5709	-13.9516	-12.4905	-12.8761	-12.9203	-13.7115	-11.6195	-11.9097	-13.1979	-15.3017	-14.3424	-12.5711	-12.2723	-15.6189	-12.3442	-13.8167	-13.4261	-16.1774	-12.3507	-13.116	-13.6318	-12.5655	-13.4468	-12.2002	-15.4477	-15.4609	-12.6208	-11.7158	-11.5125	-12.5139	-11.6774	-13.0316	-12.3256	-13.8034
R__VERB_NOUN_CCONJ_VERB	11	3	sing	covers	correct	generated	This tip of tag happens around the prosecution s sake and colleagues and	0	False	3270	9	13	This tip of tag happens around the prosecution s sake and colleagues and begins a teacher for the traffic aggressively on the pipeline of the poisoning in funeral of murderer hamsters . <eos>	-9.23837	-10.9073	-10.2385	-9.4789	-10.5093	-11.0491	-10.1673	-9.79802	-9.03198	-11.4491	-9.05613	-8.41131	-9.20054	-8.18652	-9.33332	-11.2832	-10.2938	-9.27971	-9.36049	-9.52634	-9.65124	-10.2143	-8.61223	-11.6163	-9.05739	-10.2015	-10.3405	-9.2771	-9.02293	-9.34065	-11.0153	-9.28009	-8.84046	-10.227	-9.3666	-8.97647	-11.0537	-10.7375	-10.5519	-10.1451	-10.773	-7.99484	-6.63814	-6.94967	-12.2768	-9.76827	-8.81781	-7.89292	-9.41857	-9.75326	-8.25846	-11.714	-9.24387	-11.1082	-8.97351	-8.85806	-7.65502	-10.2921	-9.83498	-9.7105	-11.3609	-9.90679	-9.41845	-10.4932	-7.32846	-8.57028	-8.75575	-12.2292	-8.87352	-9.91613	-9.28701	-11.5059	-9.06891	-9.81832	-10.1202	-11.0488	-11.1166	-8.59781	-8.36986
R__VERB_NOUN_CCONJ_VERB	11	3	sing	cover	wrong	generated	This tip of tag happens around the prosecution s sake and colleagues and	0	False	8078	9	13	This tip of tag happens around the prosecution s sake and colleagues and begins a teacher for the traffic aggressively on the pipeline of the poisoning in funeral of murderer hamsters . <eos>	-10.5348	-12.3271	-10.8872	-10.7904	-9.88218	-12.0067	-9.04036	-9.66499	-10.7581	-12.6291	-8.56744	-9.66828	-11.0677	-10.774	-9.95534	-9.65825	-9.17817	-8.38734	-9.17171	-10.2377	-9.53759	-11.0804	-9.30661	-11.5151	-9.91097	-10.1818	-10.7059	-9.98456	-10.4343	-10.8793	-9.9364	-9.41682	-10.5111	-10.6186	-10.4816	-9.2766	-11.2737	-11.3708	-10.9023	-11.4681	-11.5389	-9.11796	-9.46653	-7.74455	-10.2497	-9.5904	-11.8734	-9.89207	-9.91587	-10.4183	-10.5285	-10.7146	-10.6271	-10.865	-10.1255	-8.31905	-9.16395	-10.5065	-9.93572	-9.9151	-11.0983	-11.1994	-8.87083	-10.8327	-9.66234	-9.91414	-11.1321	-10.5745	-11.1431	-9.67743	-10.9491	-10.724	-7.93066	-10.5886	-10.5115	-9.95833	-9.94411	-11.6198	-11.4483
L__NOUN_VERB_VERB	10	0	sing	is	correct	original	The main reason I wrote this post	0	False	649202	5	7	The main reason I wrote this post is to ask anyone reading this if they know of some way I can help put a stop to this Cat Holocaust . <eos>	-2.60305	-2.36385	-2.15071	-1.70586	-2.58919	-2.41645	-2.3424	-1.6157	-2.35054	-1.37649	-2.18132	-1.83603	-1.88676	-2.13249	-1.51087	-1.48105	-2.18924	-1.73591	-2.13286	-1.35473	-1.38729	-2.15736	-1.61044	-2.43783	-1.97476	-2.89438	-1.64803	-1.82976	-1.7598	-2.06258	-1.92784	-1.8669	-1.86337	-1.88869	-2.06836	-1.94942	-2.19981	-1.93663	-1.4474	-1.62033	-1.23188	-2.13304	-2.37692	-2.28049	-1.78391	-1.98636	-2.35258	-1.65669	-1.87524	-1.84659	-1.92826	-1.25883	-2.12269	-1.59056	-1.61623	-0.890973	-2.13205	-1.53887	-1.97386	-1.2921	-1.95119	-2.51972	-2.59437	-1.59634	-1.57629	-1.65394	-2.48797	-2.10089	-2.20871	-1.92538	-2.0308	-2.30298	-2.3813	-1.26088	-1.53548	-2.17216	-1.60078	-1.85501	-1.65228
L__NOUN_VERB_VERB	10	0	sing	are	wrong	original	The main reason I wrote this post	0	False	261453	5	7	The main reason I wrote this post is to ask anyone reading this if they know of some way I can help put a stop to this Cat Holocaust . <eos>	-8.25609	-7.0689	-7.34213	-6.62383	-7.49713	-7.99119	-7.20616	-8.02005	-7.05015	-6.76968	-6.80719	-6.2666	-9.20979	-8.18956	-8.2634	-6.77693	-6.90126	-7.96767	-6.86735	-7.22439	-4.49486	-4.84752	-7.34767	-6.3809	-7.84401	-7.59034	-6.37276	-6.49254	-7.13704	-6.14207	-6.8766	-7.3743	-6.97049	-6.59552	-8.49731	-6.56869	-6.70727	-6.77147	-7.96393	-6.06923	-5.41318	-7.00212	-6.77825	-5.30565	-6.01132	-7.87787	-8.97531	-6.2456	-8.01603	-5.51426	-6.65793	-5.55557	-4.46906	-7.53949	-5.74399	-4.38547	-7.16963	-4.88792	-6.66445	-6.47782	-7.32691	-7.26337	-7.93673	-7.21791	-7.15488	-6.85913	-7.91527	-7.48341	-7.73234	-8.19203	-5.3744	-7.10936	-8.20867	-5.9731	-6.23903	-7.99163	-5.34489	-5.91265	-8.30973
R__VERB_NOUN_CCONJ_VERB	7	5	sing	feeds	correct	generated	As you lose above the chance , the distance of the competitive tractor sees your trafficking and	0	True	564	4	17	As you lose above the chance , the distance of the competitive tractor sees your trafficking and loves you reopen lighter and taller . <eos>	-10.7403	-10.747	-11.6524	-12.9294	-12.5532	-10.3931	-11.248	-10.8083	-9.61536	-11.8005	-10.8683	-10.5542	-11.203	-11.8028	-11.7327	-11.8746	-11.9371	-9.88561	-9.17718	-10.6888	-11.8995	-10.8578	-11.5942	-12.9036	-9.86129	-12.9077	-11.3131	-10.7694	-11.0043	-12.1485	-9.92431	-12.7737	-10.64	-12.212	-10.634	-13.8672	-11.1185	-11.6989	-10.1772	-13.3383	-11.9814	-9.88744	-9.98279	-13.3857	-11.9659	-12.3045	-13.579	-11.6518	-13.3036	-12.133	-10.8215	-10.6739	-10.2401	-11.4094	-10.7175	-9.94767	-10.19	-9.66268	-12.5349	-9.94419	-10.2156	-10.7643	-11.4696	-13.0638	-11.4286	-11.2158	-11.1597	-10.3167	-11.4623	-9.6531	-12.3468	-10.9989	-11.1936	-11.4107	-11.0772	-12.9863	-10.9254	-10.5621	-12.7789
R__VERB_NOUN_CCONJ_VERB	7	5	sing	feed	wrong	generated	As you lose above the chance , the distance of the competitive tractor sees your trafficking and	0	True	2199	4	17	As you lose above the chance , the distance of the competitive tractor sees your trafficking and loves you reopen lighter and taller . <eos>	-8.95205	-7.7533	-10.3681	-10.419	-10.685	-10.3284	-7.99445	-9.69186	-9.39362	-10.1295	-8.86589	-8.13016	-10.4349	-8.51277	-9.49332	-10.9077	-10.4724	-9.96744	-10.5473	-8.41235	-10.7858	-6.94603	-8.48356	-10.4189	-9.31051	-8.21114	-9.3666	-9.2021	-10.2818	-11.5202	-10.1567	-8.34398	-8.82273	-10.7122	-8.15463	-10.3825	-9.53397	-8.8645	-7.44899	-10.409	-9.71885	-7.85127	-8.0163	-8.78826	-9.21556	-12.0967	-10.8925	-8.89918	-10.9851	-11.2068	-12.6107	-9.50231	-7.0596	-9.31184	-11.0476	-10.1693	-11.5015	-8.88726	-10.2829	-8.35267	-6.76788	-8.98685	-9.14712	-8.20821	-9.07256	-9.07267	-8.4424	-8.28741	-9.94491	-9.27705	-7.56868	-11.2235	-6.57944	-11.9833	-9.64517	-12.072	-8.20417	-10.4505	-8.64688
R__VERB_NOUN_CCONJ_VERB	13	0	plur	use	correct	original	They always ask if you have meat in your dish , ( for vegetarians like me ) , they scrub an area of the grill and	0	True	47118	7	26	They always ask if you have meat in your dish , ( for vegetarians like me ) , they scrub an area of the grill and use separate utensils to cook . <eos>	-3.98369	-4.71143	-6.85068	-7.09141	-5.03231	-7.15125	-5.98923	-4.29994	-5.70434	-5.61899	-5.26033	-8.08402	-4.65637	-4.20424	-4.93398	-6.08651	-6.18342	-5.60793	-5.84043	-5.41653	-6.6618	-7.30404	-5.92506	-5.55449	-5.43307	-6.29363	-5.35712	-6.16173	-6.3309	-5.02305	-5.74666	-5.83014	-4.80123	-5.42714	-5.45496	-8.38595	-5.2734	-5.88973	-4.69752	-6.04716	-5.22346	-6.90225	-5.49321	-5.23084	-5.91938	-4.66552	-5.89512	-6.29702	-5.62523	-5.53374	-6.43971	-5.22463	-5.0031	-6.71872	-5.77623	-5.23797	-6.272	-7.27219	-5.5448	-6.18901	-5.75809	-6.94885	-6.9034	-5.24938	-5.07671	-5.47483	-5.01876	-6.15484	-5.73832	-6.78596	-6.56545	-4.98594	-7.03556	-5.09622	-5.38635	-6.03632	-5.58935	-5.21592	-5.95268
