pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	srnn_hidden650_batch128_dropout0.0_lr0.5	srnn_hidden650_batch128_dropout0.0_lr5.0	srnn_hidden650_batch128_dropout0.0_lr1.0	srnn_hidden650_batch128_dropout0.1_lr0.5	srnn_hidden650_batch128_dropout0.0_lr10.0	srnn_hidden650_batch128_dropout0.1_lr1.0	srnn_hidden650_batch128_dropout0.1_lr10.0	srnn_hidden650_batch128_dropout0.2_lr1.0	srnn_hidden650_batch128_dropout0.2_lr10.0	srnn_hidden650_batch128_dropout0.2_lr5.0	srnn_hidden650_batch128_dropout0.2_lr0.5	srnn_hidden650_batch128_dropout0.1_lr5.0	srnn_hidden650_batch64_dropout0.0_lr0.5	srnn_hidden650_batch64_dropout0.0_lr1.0	srnn_hidden650_batch64_dropout0.0_lr10.0	srnn_hidden650_batch64_dropout0.0_lr5.0	srnn_hidden650_batch64_dropout0.1_lr0.5	srnn_hidden650_batch64_dropout0.1_lr1.0	srnn_hidden650_batch64_dropout0.1_lr10.0	srnn_hidden650_batch64_dropout0.1_lr5.0	srnn_hidden650_batch64_dropout0.2_lr0.5	srnn_hidden650_batch64_dropout0.2_lr1.0	srnn_hidden650_batch64_dropout0.2_lr10.0	srnn_hidden650_batch64_dropout0.2_lr5.0
R__VERB_NOUN_CCONJ_VERB	9	5	plur	carry	correct	generated	I continue this illegal bombing and	0	False	4503	5	6	I continue this illegal bombing and suppose to hang this popular exam . <eos>	-9.36856	-10.5466	-10.9548	-8.7989	-8.60158	-9.13069	-9.61074	-8.99295	-9.12386	-8.4772	-8.96192	-8.3869	-10.4938	-8.05068	-9.52207	-8.58988	-9.12036	-9.89692	-9.18435	-10.5402	-9.22364	-8.66548	-9.58597	-8.83603
R__VERB_NOUN_CCONJ_VERB	9	5	plur	carries	wrong	generated	I continue this illegal bombing and	0	False	1560	5	6	I continue this illegal bombing and suppose to hang this popular exam . <eos>	-10.9963	-12.0651	-8.66088	-9.52029	-10.5988	-9.17204	-11.5711	-10.0986	-10.3912	-10.4701	-9.61191	-9.34313	-10.6977	-8.52647	-10.0682	-9.29124	-9.37525	-10.3098	-9.84735	-10.2038	-9.28166	-10.1876	-9.61871	-10.8961
L__NOUN_VERB_VERB	23	1	sing	sucks	correct	generated	Well , unless equally probably the third rape he caused in the stuff	0	True	53	6	13	Well , unless equally probably the third rape he caused in the stuff leads out . <eos>	-15.3991	-17.6476	-13.1948	-13.5752	-13.4427	-12.5661	-16.4626	-12.3911	-14.5235	-12.8907	-12.934	-16.6665	-14.0352	-14.1144	-14.2187	-13.2671	-14.4228	-12.6119	-13.6652	-15.6072	-13.1435	-11.8055	-21.295	-15.4821
L__NOUN_VERB_VERB	23	1	sing	suck	wrong	generated	Well , unless equally probably the third rape he caused in the stuff	0	True	89	6	13	Well , unless equally probably the third rape he caused in the stuff leads out . <eos>	-14.5562	-16.9919	-14.4604	-15.7239	-15.1478	-14.5663	-16.865	-13.3046	-15.3865	-15.7881	-14.12	-14.3045	-13.3541	-14.8102	-15.1215	-13.9179	-13.9347	-13.3279	-14.7772	-17.0083	-14.705	-12.7297	-20.585	-15.9043
R__VERB_NOUN_CCONJ_VERB	2	5	plur	recognize	correct	generated	Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and	0	True	1554	7	18	Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and develop respectfully to system the mile after we continue ) <eos>	-7.03144	-8.30267	-8.551	-8.1377	-8.3096	-8.16107	-8.14134	-8.19564	-9.26084	-7.65294	-8.8234	-9.12436	-7.69008	-7.25898	-9.12754	-9.08792	-8.66527	-7.3012	-8.69633	-8.74207	-8.18966	-7.89982	-11.0437	-9.39305
R__VERB_NOUN_CCONJ_VERB	2	5	plur	recognizes	wrong	generated	Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and	0	True	623	7	18	Reports occasionally : Fabio thousand through Ontario five ( expecting you recognize on the litter we hear and develop respectfully to system the mile after we continue ) <eos>	-10.4188	-11.44	-9.46975	-11.2083	-9.55942	-11.7152	-11.626	-11.3292	-11.9465	-9.56409	-11.827	-11.4827	-10.7951	-9.76793	-11.951	-10.6032	-11.3174	-12.4287	-12.4021	-11.6417	-11.2452	-11.0038	-12.5425	-12.5228
R__VERB_NOUN_CCONJ_VERB	14	4	sing	creates	correct	generated	The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and	0	False	1563	5	21	The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and provides into the sentiment client . <eos>	-8.29546	-8.03637	-7.08717	-8.30327	-8.36156	-8.2673	-8.78497	-7.6221	-7.33191	-7.92584	-8.16236	-9.06209	-5.81392	-7.37841	-7.64989	-6.88588	-7.46483	-7.77027	-8.77712	-8.34692	-7.8165	-7.4216	-11.3349	-10.0526
R__VERB_NOUN_CCONJ_VERB	14	4	sing	create	wrong	generated	The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and	0	False	8745	5	21	The first spine you serve why you anticipate on northeast enjoys that the discount judgment locally contains out the lamp and provides into the sentiment client . <eos>	-6.46507	-6.57817	-8.11882	-6.83726	-8.71246	-6.8769	-6.98257	-8.18676	-7.13411	-7.81355	-7.80101	-6.14991	-8.27937	-7.70207	-7.92051	-6.06297	-6.62107	-8.18402	-8.02258	-8.46568	-8.45151	-7.57308	-10.2644	-7.7634
L__NOUN_VERB_VERB	4	2	sing	enters	correct	generated	My career with using the fantasy frequently	0	False	1492	6	7	My career with using the fantasy frequently offers , could it be eaten that perfectly everyone bought the swap would or could eat at any justice , since we happily prevented Veterinary and Wars and if they gave they might have grown a scientific blackmail ?? <eos>	-8.56243	-12.7938	-9.93779	-10.0881	-10.6878	-8.84134	-9.59038	-9.19401	-10.3806	-10.4558	-10.0558	-12.8621	-8.90793	-9.56002	-8.89766	-9.55941	-9.6631	-7.81224	-10.7238	-14.2144	-8.02536	-8.47989	-11.0101	-15.0161
L__NOUN_VERB_VERB	4	2	sing	enter	wrong	generated	My career with using the fantasy frequently	0	False	3610	6	7	My career with using the fantasy frequently offers , could it be eaten that perfectly everyone bought the swap would or could eat at any justice , since we happily prevented Veterinary and Wars and if they gave they might have grown a scientific blackmail ?? <eos>	-9.2487	-10.6332	-12.4467	-9.91653	-10.7969	-12.0163	-11.4551	-12.2512	-11.691	-10.6274	-11.5366	-10.3625	-10.0892	-13.2222	-10.6955	-10.5716	-10.7142	-11.196	-10.1901	-10.7468	-11.1852	-11.151	-11.0647	-10.7269
R__VERB_NOUN_CCONJ_VERB	0	7	plur	refuse	correct	generated	Copies throw the aircraft but	0	False	722	4	5	Copies throw the aircraft but lose her complicated drying and the path belongs . <eos>	-11.231	-9.88001	-9.4868	-10.5225	-8.53251	-10.9971	-10.175	-10.9653	-10.0259	-9.92104	-10.3603	-10.0991	-9.7772	-9.88783	-9.31796	-10.3488	-10.7696	-10.0289	-10.2562	-11.1565	-8.55682	-10.7251	-13.8636	-9.71425
R__VERB_NOUN_CCONJ_VERB	0	7	plur	refuses	wrong	generated	Copies throw the aircraft but	0	False	1038	4	5	Copies throw the aircraft but lose her complicated drying and the path belongs . <eos>	-11.043	-8.02716	-9.39542	-10.2183	-8.09502	-9.66851	-9.20213	-10.0051	-9.23997	-10.0589	-10.49	-9.50773	-8.83416	-7.27182	-9.37407	-10.6471	-8.95685	-10.6444	-9.60193	-8.09108	-6.86942	-10.3062	-11.9251	-7.47196
L__NOUN_VERB_VERB	19	4	plur	insist	correct	generated	the ecological wines we believe in our night	1	False	262	6	8	the ecological wines we believe in our night assume ; we come drawer today for easter , rivalry difficulty and weapon - machine for Louisiana . <eos>	-14.2991	-13.6736	-13.5445	-12.6642	-12.183	-13.8516	-13.6566	-11.6802	-10.9908	-13.9005	-12.0675	-13.036	-14.9045	-14.6914	-14.4759	-14.7099	-13.8466	-12.9099	-13.5905	-14.582	-12.8067	-13.4484	-17.4094	-12.2746
L__NOUN_VERB_VERB	19	4	plur	insists	wrong	generated	the ecological wines we believe in our night	1	False	447	6	8	the ecological wines we believe in our night assume ; we come drawer today for easter , rivalry difficulty and weapon - machine for Louisiana . <eos>	-12.9893	-13.4601	-13.7007	-13.7182	-12.1851	-12.9344	-14.2791	-12.9925	-11.5014	-13.829	-13.0762	-12.9302	-14.4232	-11.8117	-12.4198	-15.2316	-14.8457	-11.1098	-13.2196	-14.8351	-14.1484	-12.7821	-16.7108	-14.7729
L__NOUN_VERB_VERB	0	9	sing	adds	correct	generated	The wolf to continue in time	0	False	932	5	6	The wolf to continue in time uses that Critical Afghan kinds and Pakistanis and dissatisfied Kurdish gentlemen are romantic to harass badly faithfully tall to the Andrew in Ashcroft than al - Lonely appointees , and it would be gullible to prove one 's ecosystems off the final sea . <eos>	-10.9396	-14.1663	-12.7435	-11.2532	-10.8645	-11.5038	-11.0822	-10.6925	-12.2697	-10.6643	-10.6071	-13.6417	-11.7294	-12.0864	-11.1294	-10.9832	-10.558	-10.4369	-11.2798	-11.3357	-10.5065	-10.6421	-12.9248	-14.308
L__NOUN_VERB_VERB	0	9	sing	add	wrong	generated	The wolf to continue in time	0	False	2283	5	6	The wolf to continue in time uses that Critical Afghan kinds and Pakistanis and dissatisfied Kurdish gentlemen are romantic to harass badly faithfully tall to the Andrew in Ashcroft than al - Lonely appointees , and it would be gullible to prove one 's ecosystems off the final sea . <eos>	-12.7969	-14.0667	-13.0837	-13.1061	-13.6179	-12.8063	-13.8204	-13.2479	-12.1721	-12.4315	-13.1673	-15.4101	-12.7057	-13.624	-12.0049	-14.8886	-12.9464	-11.755	-13.7967	-12.2128	-13.3046	-12.8005	-11.764	-13.8397
R__VERB_NOUN_CCONJ_VERB	2	0	plur	go	correct	original	Days away : Sept. 21 through Oct. 3 ( assuming you work on the day we leave and	0	True	11429	7	18	Days away : Sept. 21 through Oct. 3 ( assuming you work on the day we leave and go back to work the day after we return ) <eos>	-4.27925	-5.28007	-3.55875	-3.49024	-4.43977	-3.48345	-3.66687	-3.57415	-3.74847	-3.78067	-3.60939	-4.80933	-5.65243	-4.98679	-3.42556	-4.40965	-3.72216	-3.19385	-3.48601	-6.04794	-3.48875	-3.25234	-10.3859	-6.25075
R__VERB_NOUN_CCONJ_VERB	2	0	plur	goes	wrong	original	Days away : Sept. 21 through Oct. 3 ( assuming you work on the day we leave and	0	True	4325	7	18	Days away : Sept. 21 through Oct. 3 ( assuming you work on the day we leave and go back to work the day after we return ) <eos>	-8.19076	-7.60028	-6.78058	-6.15935	-5.79739	-6.27581	-7.18724	-6.95109	-7.74363	-6.29457	-6.65673	-7.48756	-6.91562	-4.74686	-6.70983	-6.73737	-5.88839	-6.89953	-6.75016	-7.10813	-6.79984	-7.11876	-9.10276	-8.08021
R__VERB_NOUN_CCONJ_VERB	12	5	sing	reflects	correct	generated	See for a petroleum of reviewers in their junk that submits from the date and	0	False	1138	5	15	See for a petroleum of reviewers in their junk that submits from the date and supports really to the police fo the looting . <eos>	-11.1366	-11.5774	-10.6948	-9.22311	-11.849	-9.57838	-9.98672	-10.5618	-8.1831	-10.7155	-9.74684	-9.21476	-11.011	-10.2388	-10.5888	-9.64589	-9.29754	-9.42911	-11.6833	-8.63186	-10.1856	-9.84233	-10.7019	-10.1473
R__VERB_NOUN_CCONJ_VERB	12	5	sing	reflect	wrong	generated	See for a petroleum of reviewers in their junk that submits from the date and	0	False	1968	5	15	See for a petroleum of reviewers in their junk that submits from the date and supports really to the police fo the looting . <eos>	-9.87247	-8.8942	-9.11297	-9.03453	-9.68396	-9.17543	-9.29767	-10.2327	-8.29324	-9.30859	-9.26592	-9.00941	-8.858	-8.86219	-8.1676	-8.23577	-8.53105	-8.64426	-12.1297	-9.17605	-9.82045	-10.8033	-10.61	-10.2595
R__VERB_NOUN_CCONJ_VERB	7	8	sing	throws	correct	generated	As you seem above the ton , the perfume of the critical protein provides your pattern and	0	True	600	4	17	As you seem above the ton , the perfume of the critical protein provides your pattern and serves you reassure newer and taller . <eos>	-9.81941	-10.9107	-10.8397	-10.042	-9.86662	-9.25331	-10.3679	-10.9949	-9.12347	-11.1108	-9.86069	-9.21988	-9.65647	-10.0506	-10.1188	-9.99759	-9.75659	-9.86709	-10.7025	-9.68538	-9.63755	-10.7661	-11.8338	-10.7861
R__VERB_NOUN_CCONJ_VERB	7	8	sing	throw	wrong	generated	As you seem above the ton , the perfume of the critical protein provides your pattern and	0	True	1224	4	17	As you seem above the ton , the perfume of the critical protein provides your pattern and serves you reassure newer and taller . <eos>	-9.07443	-8.79349	-9.11557	-8.03966	-8.618	-9.34646	-10.3051	-10.6168	-8.69258	-10.294	-10.2904	-8.17601	-8.41508	-9.36956	-8.49319	-8.32166	-9.85873	-9.93921	-9.47735	-9.93604	-9.34988	-10.7845	-11.6133	-9.44521
L__NOUN_VERB_VERB	2	1	plur	spend	correct	generated	<unk> I do n't solve to the commission that the stars we choose or receive to	1	False	2073	6	16	Whie I do n't solve to the commission that the stars we choose or receive to deny no aircraft on our death ( which I want is promptly generic ) , it does generate me whenever projects carry out a relaxed spa of crimes to see the pork on . <eos>	-7.71626	-7.69951	-8.06616	-5.8955	-7.29682	-6.57858	-7.00014	-6.98229	-7.40604	-6.93711	-6.49423	-7.25202	-8.39749	-7.83201	-6.55109	-6.97887	-6.33971	-7.68032	-6.53064	-7.45357	-7.0867	-6.89574	-9.74227	-7.14951
L__NOUN_VERB_VERB	2	1	plur	spends	wrong	generated	<unk> I do n't solve to the commission that the stars we choose or receive to	1	False	506	6	16	Whie I do n't solve to the commission that the stars we choose or receive to deny no aircraft on our death ( which I want is promptly generic ) , it does generate me whenever projects carry out a relaxed spa of crimes to see the pork on . <eos>	-14.1894	-13.9249	-15.266	-15.8262	-12.852	-15.0074	-15.7498	-14.6334	-16.9781	-15.2165	-15.5185	-13.334	-15.4144	-15.4922	-15.6628	-16.4525	-16.8	-14.6022	-15.4237	-13.3606	-15.4226	-15.8232	-14.995	-14.585
R__VERB_NOUN_CCONJ_VERB	11	7	sing	generates	correct	generated	This clerk of luck represents around the snow s swing and controllers and	0	False	464	9	13	This clerk of luck represents around the snow s swing and controllers and dies a revenue for the nightmare accidentally on the receipt of the club in tribe of decision seconds . <eos>	-11.5792	-12.2091	-10.0056	-9.98611	-11.5883	-9.91976	-10.5123	-10.6226	-11.3994	-10.2277	-10.5407	-9.56776	-11.0054	-9.64415	-10.5809	-10.5942	-9.99376	-9.43663	-10.8072	-10.2927	-11.2151	-10.6707	-12.6109	-9.72978
R__VERB_NOUN_CCONJ_VERB	11	7	sing	generate	wrong	generated	This clerk of luck represents around the snow s swing and controllers and	0	False	1569	9	13	This clerk of luck represents around the snow s swing and controllers and dies a revenue for the nightmare accidentally on the receipt of the club in tribe of decision seconds . <eos>	-11.5307	-11.8598	-9.80323	-10.4993	-11.5588	-10.0139	-10.0454	-9.92261	-10.3593	-10.3942	-9.64687	-10.5413	-10.6031	-8.84446	-10.1182	-9.81342	-10.1743	-9.29627	-10.5485	-9.63542	-10.2481	-9.75971	-11.2407	-10.0168
R__VERB_NOUN_CCONJ_VERB	15	1	sing	serves	correct	generated	If you tend a news who will put to you and greet he will assess and then recruit his gravy , and not recruit what he is stepping about why he remembers hijackers at investigative minutes and	0	True	4701	6	37	If you tend a news who will put to you and greet he will assess and then recruit his gravy , and not recruit what he is stepping about why he remembers hijackers at investigative minutes and sees they affirm what you condemn , whenever they will not spawn for you , groom to this pup ... he is the audience for you . <eos>	-9.41782	-9.03971	-9.37584	-10.153	-10.1781	-10.3864	-11.1567	-9.51437	-10.1234	-7.92185	-10.3655	-9.28697	-9.61658	-9.98329	-8.66563	-9.0995	-10.3186	-10.7429	-10.1914	-9.14917	-11.5439	-9.76495	-7.96504	-10.1063
R__VERB_NOUN_CCONJ_VERB	15	1	sing	serve	wrong	generated	If you tend a news who will put to you and greet he will assess and then recruit his gravy , and not recruit what he is stepping about why he remembers hijackers at investigative minutes and	0	True	7238	6	37	If you tend a news who will put to you and greet he will assess and then recruit his gravy , and not recruit what he is stepping about why he remembers hijackers at investigative minutes and sees they affirm what you condemn , whenever they will not spawn for you , groom to this pup ... he is the audience for you . <eos>	-8.18355	-8.10716	-8.72799	-8.02991	-7.24582	-9.34205	-9.73781	-8.35093	-8.6146	-9.01633	-8.58055	-6.72493	-9.75963	-8.62073	-10.5725	-8.76823	-8.97884	-8.09895	-9.52694	-9.06438	-10.0141	-7.82646	-9.06203	-8.47984
R__VERB_NOUN_CCONJ_VERB	4	8	plur	consider	correct	generated	Put me disrupt if you pay any fry or	0	False	3420	4	9	Put me disrupt if you pay any fry or describe anything eager . <eos>	-10.206	-9.59291	-11.63	-10.7842	-10.3885	-11.3389	-10.6215	-10.5529	-9.19145	-10.2851	-10.2835	-10.4171	-11.0417	-11.1856	-11.6992	-11.6219	-12.2828	-11.4196	-10.8356	-7.46446	-11.0768	-11.25	-10.1713	-9.54036
R__VERB_NOUN_CCONJ_VERB	4	8	plur	considers	wrong	generated	Put me disrupt if you pay any fry or	0	False	1211	4	9	Put me disrupt if you pay any fry or describe anything eager . <eos>	-12.0261	-12.2808	-13.9235	-13.2118	-13.2026	-14.1157	-13.2704	-13.2832	-13.3227	-13.2115	-11.7513	-12.9928	-12.7304	-14.2997	-13.9165	-15.3399	-14.5733	-14.0129	-13.6944	-10.6103	-13.0472	-13.4568	-11.0804	-12.4879
R__VERB_NOUN_CCONJ_VERB	10	5	plur	seek	correct	generated	You assume the picketing and	0	False	2705	4	5	You assume the picketing and seek tube signature into the welfare . <eos>	-8.10474	-7.11549	-7.49947	-8.71918	-8.40307	-9.0832	-8.03827	-9.17424	-8.95435	-7.60888	-9.0052	-8.54173	-8.39687	-7.24956	-9.09936	-8.40136	-8.32502	-8.00823	-7.53998	-10.0971	-7.58831	-7.62489	-8.98887	-6.96381
R__VERB_NOUN_CCONJ_VERB	10	5	plur	seeks	wrong	generated	You assume the picketing and	0	False	1030	4	5	You assume the picketing and seek tube signature into the welfare . <eos>	-8.92364	-9.43249	-9.26383	-9.83415	-10.104	-10.2304	-10.8836	-10.3743	-10.9994	-10.2737	-10.5035	-11.3958	-9.49983	-7.9356	-9.59353	-8.81545	-10.2139	-9.72737	-8.70826	-8.48702	-9.86405	-9.37014	-12.6855	-10.6302
L__NOUN_VERB_VERB	10	5	sing	intends	correct	generated	The sole liberty I murdered this vision	0	False	341	5	7	The sole liberty I murdered this vision offers to exploit anyone comparing this if they condemn of some retaliation I can prefer marry a star to this Today Today . <eos>	-11.2248	-12.5953	-12.8021	-12.7333	-12.4994	-12.5585	-12.8959	-13.1173	-14.7677	-12.3608	-12.3676	-13.5533	-12.4666	-13.2443	-11.6351	-12.2442	-13.1491	-12.3442	-13.4922	-13.0923	-12.1992	-13.1598	-15.3393	-13.4267
L__NOUN_VERB_VERB	10	5	sing	intend	wrong	generated	The sole liberty I murdered this vision	0	False	327	5	7	The sole liberty I murdered this vision offers to exploit anyone comparing this if they condemn of some retaliation I can prefer marry a star to this Today Today . <eos>	-14.5465	-15.0574	-15.6615	-14.7862	-12.8589	-16.1336	-15.1824	-16.2671	-16.035	-14.0122	-15.2038	-13.5139	-14.1048	-16.1574	-13.2824	-14.3628	-16.671	-17.1825	-13.8054	-14.7518	-14.6538	-16.0674	-16.4597	-13.7738
R__VERB_NOUN_CCONJ_VERB	6	0	plur	require	correct	original	If you have any questions or	0	False	4657	4	6	If you have any questions or require any assistance at all , please contact Hope Duncan at 202.739.0134 or Jeff Mangold at 703.729.2710 . <eos>	-9.213	-9.22953	-9.40228	-8.21607	-9.69216	-9.17883	-10.1507	-9.22808	-9.74657	-8.97443	-8.61849	-8.56663	-10.2656	-8.10295	-8.85614	-8.83348	-9.23392	-8.4983	-9.12874	-10.1515	-8.54309	-9.9653	-8.59168	-9.02859
R__VERB_NOUN_CCONJ_VERB	6	0	plur	requires	wrong	original	If you have any questions or	0	False	3879	4	6	If you have any questions or require any assistance at all , please contact Hope Duncan at 202.739.0134 or Jeff Mangold at 703.729.2710 . <eos>	-7.65767	-9.95269	-9.8522	-8.27669	-8.89672	-9.34221	-11.3866	-8.69588	-9.60214	-9.81058	-9.51875	-8.72756	-8.75718	-8.94242	-9.09035	-10.0772	-8.99679	-8.36834	-10.3928	-9.77706	-9.02415	-8.80354	-9.9487	-10.6105
L__NOUN_VERB_VERB	24	2	plur	relate	correct	generated	Programs who seem these adults	0	False	685	5	5	Programs who seem these adults begin at the ideology entirely ; and it 's defensive to put they are unconnected and dead to grab no if they die there would commit a phenomenon . <eos>	-8.91376	-8.24882	-8.16474	-8.23906	-7.92374	-8.69673	-8.10714	-8.77406	-8.19431	-9.09271	-8.32579	-8.55237	-7.53948	-9.04672	-8.32549	-7.24766	-9.08566	-8.40051	-8.31954	-7.15109	-8.4692	-7.76154	-14.0968	-8.06604
