pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	hidden650_batch64_dropout0.2_lr10.0
R__VERB_NOUN_CCONJ_VERB	2	9	plur	play	correct	generated	Leaders abruptly : Phoenix three through April six ( inciting you respond on the hatred we tell and	0	True	19515	7	18	Leaders abruptly : Phoenix three through April six ( inciting you respond on the hatred we tell and seem mutually to p the poisoning after we collaborate ) <eos>	-7.35733
R__VERB_NOUN_CCONJ_VERB	2	9	plur	plays	wrong	generated	Leaders abruptly : Phoenix three through April six ( inciting you respond on the hatred we tell and	0	True	5579	7	18	Leaders abruptly : Phoenix three through April six ( inciting you respond on the hatred we tell and seem mutually to p the poisoning after we collaborate ) <eos>	-9.77291
L__NOUN_VERB_VERB	7	6	sing	does	correct	generated	Can you emit that the colony we are pushing	0	False	18787	4	9	Can you emit that the colony we are pushing submits toward a huge and main stove ? <eos>	-9.63584
L__NOUN_VERB_VERB	7	6	sing	do	wrong	generated	Can you emit that the colony we are pushing	0	False	28089	4	9	Can you emit that the colony we are pushing submits toward a huge and main stove ? <eos>	-8.27832
L__NOUN_VERB_VERB	12	7	plur	are	correct	generated	Israeli sports that however would wander	1	False	261453	5	6	Israeli sports that however would wander eat grandchildren , club , Lieutenant route and some layers of stairs . <eos>	-8.61412
L__NOUN_VERB_VERB	12	7	plur	is	wrong	generated	Israeli sports that however would wander	1	False	649202	5	6	Israeli sports that however would wander eat grandchildren , club , Lieutenant route and some layers of stairs . <eos>	-9.48114
L__NOUN_VERB_VERB	8	1	sing	tends	correct	generated	Again adjust your plants to happen this aggressively to their books , and financially inevitably , so that the siege to determine her	0	True	1298	4	23	Again adjust your plants to happen this aggressively to their books , and financially inevitably , so that the siege to determine her thinks easily . <eos>	-12.0568
L__NOUN_VERB_VERB	8	1	sing	tend	wrong	generated	Again adjust your plants to happen this aggressively to their books , and financially inevitably , so that the siege to determine her	0	True	3201	4	23	Again adjust your plants to happen this aggressively to their books , and financially inevitably , so that the siege to determine her thinks easily . <eos>	-12.6179
L__NOUN_VERB_VERB	21	8	sing	advises	correct	generated	The independent vast faith that he happens	1	False	265	4	7	The independent vast faith that he happens applies that he frequently threatens his currents and strictly pretends happy with his provincial drama . <eos>	-13.1563
L__NOUN_VERB_VERB	21	8	sing	advise	wrong	generated	The independent vast faith that he happens	1	False	388	4	7	The independent vast faith that he happens applies that he frequently threatens his currents and strictly pretends happy with his provincial drama . <eos>	-17.3936
L__NOUN_VERB_VERB	8	6	sing	relates	correct	generated	Additionally approve your gentlemen to succeed this accordingly to their keys , and nowadays uniquely , so that the bull to remain her	0	True	782	4	23	Additionally approve your gentlemen to succeed this accordingly to their keys , and nowadays uniquely , so that the bull to remain her knows especially . <eos>	-13.5353
L__NOUN_VERB_VERB	8	6	sing	relate	wrong	generated	Additionally approve your gentlemen to succeed this accordingly to their keys , and nowadays uniquely , so that the bull to remain her	0	True	685	4	23	Additionally approve your gentlemen to succeed this accordingly to their keys , and nowadays uniquely , so that the bull to remain her knows especially . <eos>	-14.0222
L__NOUN_VERB_VERB	1	4	sing	provides	correct	generated	An internal atmosphere offered in two	0	False	7409	4	6	"An internal atmosphere offered in two submits there apply two "" mosques "" in the UK Iraqis , but overwhelming submarines are halfway healthier than this . <eos>"	-11.9209
L__NOUN_VERB_VERB	1	4	sing	provide	wrong	generated	An internal atmosphere offered in two	0	False	12768	4	6	"An internal atmosphere offered in two submits there apply two "" mosques "" in the UK Iraqis , but overwhelming submarines are halfway healthier than this . <eos>"	-11.9023
L__NOUN_VERB_VERB	14	4	sing	refuses	correct	generated	A Karla data arrayed in Lewiston thousand	0	False	1038	5	7	"A Karla data arrayed in Lewiston thousand tells , "" Due to its receipt astride the Mar Fred , Okinawa has repeatedly been a consistency to the Trustee . <eos>"	-15.779
L__NOUN_VERB_VERB	14	4	sing	refuse	wrong	generated	A Karla data arrayed in Lewiston thousand	0	False	722	5	7	"A Karla data arrayed in Lewiston thousand tells , "" Due to its receipt astride the Mar Fred , Okinawa has repeatedly been a consistency to the Trustee . <eos>"	-15.095
L__NOUN_VERB_VERB	3	5	sing	spends	correct	generated	I tolerate the nightlife you demonstrated to me	0	False	506	5	8	I tolerate the nightlife you demonstrated to me pays to the Darla Houston at ISI ( born in Lounge ) . <eos>	-15.995
L__NOUN_VERB_VERB	3	5	sing	spend	wrong	generated	I tolerate the nightlife you demonstrated to me	0	False	2073	5	8	I tolerate the nightlife you demonstrated to me pays to the Darla Houston at ISI ( born in Lounge ) . <eos>	-13.8634
L__NOUN_VERB_VERB	6	8	plur	include	correct	generated	I recommend the walls on which I should pick your hotel	1	False	24625	8	11	I recommend the walls on which I should pick your hotel oppose : ( a ) Do you hang a decent penny about the flooring to conscientious transmission destinations stayed by Oregon Online ? <eos>	-14.1814
L__NOUN_VERB_VERB	6	8	plur	includes	wrong	generated	I recommend the walls on which I should pick your hotel	1	False	10564	8	11	I recommend the walls on which I should pick your hotel oppose : ( a ) Do you hang a decent penny about the flooring to conscientious transmission destinations stayed by Oregon Online ? <eos>	-13.8894
L__NOUN_VERB_VERB	13	6	sing	objects	correct	generated	"Because of the conclusion that his respectful lighting with Rico Israel had canned him , he slept games surgical as : "" You can relate a teacher and a disintegration , eighteen remainder you ca n't believe"	0	True	4655	5	37	"Because of the conclusion that his respectful lighting with Rico Israel had canned him , he slept games surgical as : "" You can relate a teacher and a disintegration , eighteen remainder you ca n't believe accuses why you 're capable automatically "" and sent comments to the "" Baltimore Hewlett "" payment choosing that "" substantially he walked Small conditions to refer repeatedly nervous as a birthday "" . <eos>"	-10.7781
L__NOUN_VERB_VERB	13	6	sing	object	wrong	generated	"Because of the conclusion that his respectful lighting with Rico Israel had canned him , he slept games surgical as : "" You can relate a teacher and a disintegration , eighteen remainder you ca n't believe"	0	True	4618	5	37	"Because of the conclusion that his respectful lighting with Rico Israel had canned him , he slept games surgical as : "" You can relate a teacher and a disintegration , eighteen remainder you ca n't believe accuses why you 're capable automatically "" and sent comments to the "" Baltimore Hewlett "" payment choosing that "" substantially he walked Small conditions to refer repeatedly nervous as a birthday "" . <eos>"	-12.7278
L__NOUN_VERB_VERB	4	3	sing	attacks	correct	generated	My motivation with existing the handful comfortably	0	False	5512	6	7	My motivation with existing the handful comfortably incorporates , could it be intended that supposedly everyone claimed the faction would or could allow at any guinea , since we fairly stepped Laden and Jews and if they bought they might have met a suitable childbirth ?? <eos>	-11.5093
L__NOUN_VERB_VERB	4	3	sing	attack	wrong	generated	My motivation with existing the handful comfortably	0	False	11547	6	7	My motivation with existing the handful comfortably incorporates , could it be intended that supposedly everyone claimed the faction would or could allow at any guinea , since we fairly stepped Laden and Jews and if they bought they might have met a suitable childbirth ?? <eos>	-12.8252
R__VERB_NOUN_CCONJ_VERB	1	0	plur	go	correct	original	I say we just keep the dough and	0	False	11429	4	8	I say we just keep the dough and go to Mexico . <eos>	-3.98648
R__VERB_NOUN_CCONJ_VERB	1	0	plur	goes	wrong	original	I say we just keep the dough and	0	False	4325	4	8	I say we just keep the dough and go to Mexico . <eos>	-8.86451
R__VERB_NOUN_CCONJ_VERB	9	6	plur	blame	correct	generated	I put this explosive leader and	0	False	657	5	6	I put this explosive leader and refuse to vomit this previous ability . <eos>	-7.86311
R__VERB_NOUN_CCONJ_VERB	9	6	plur	blames	wrong	generated	I put this explosive leader and	0	False	154	5	6	I put this explosive leader and refuse to vomit this previous ability . <eos>	-13.0125
R__VERB_NOUN_CCONJ_VERB	10	3	plur	deserve	correct	generated	You expect the jaw and	0	False	208	4	5	You expect the jaw and refuse sky faith into the disgrace . <eos>	-20.0023
R__VERB_NOUN_CCONJ_VERB	10	3	plur	deserves	wrong	generated	You expect the jaw and	0	False	198	4	5	You expect the jaw and refuse sky faith into the disgrace . <eos>	-18.435
L__NOUN_VERB_VERB	3	4	sing	talks	correct	generated	I become the container you lasted to me	0	False	1496	5	8	I become the container you lasted to me wakes to the Village Jamaica at Orleans ( returned in Hughes ) . <eos>	-13.5918
L__NOUN_VERB_VERB	3	4	sing	talk	wrong	generated	I become the container you lasted to me	0	False	2856	5	8	I become the container you lasted to me wakes to the Village Jamaica at Orleans ( returned in Hughes ) . <eos>	-11.4473
L__NOUN_VERB_VERB	10	3	sing	applies	correct	generated	The militant designer I served this drawer	0	False	1246	5	7	The militant designer I served this drawer advises to interfere anyone describing this if they respond of some stylist I can relate hurt a credence to this Description Payment . <eos>	-18.2219
L__NOUN_VERB_VERB	10	3	sing	apply	wrong	generated	The militant designer I served this drawer	0	False	2730	5	7	The militant designer I served this drawer advises to interfere anyone describing this if they respond of some stylist I can relate hurt a credence to this Description Payment . <eos>	-18.8499
L__NOUN_VERB_VERB	9	7	plur	reflect	correct	generated	But annoying destinations do learn the region they refer he will forget , and the appropriations who remain him	1	True	1968	4	19	But annoying destinations do learn the region they refer he will forget , and the appropriations who remain him refer to afford the effects who exist him . <eos>	-11.8807
L__NOUN_VERB_VERB	9	7	plur	reflects	wrong	generated	But annoying destinations do learn the region they refer he will forget , and the appropriations who remain him	1	True	1138	4	19	But annoying destinations do learn the region they refer he will forget , and the appropriations who remain him refer to afford the effects who exist him . <eos>	-13.3335
L__NOUN_VERB_VERB	7	7	sing	reflects	correct	generated	Can you initiate that the pizza we are pushing	0	False	1138	4	9	Can you initiate that the pizza we are pushing remembers toward a false and flawless reaction ? <eos>	-12.0728
L__NOUN_VERB_VERB	7	7	sing	reflect	wrong	generated	Can you initiate that the pizza we are pushing	0	False	1968	4	9	Can you initiate that the pizza we are pushing remembers toward a false and flawless reaction ? <eos>	-13.6512
L__NOUN_VERB_VERB	6	1	plur	observe	correct	generated	I serve the claws on which I should harass your thief	1	False	946	8	11	I serve the claws on which I should harass your thief oppose : ( a ) Do you warn a decent tap about the longevity to senior bravery policies protected by ISI Express ? <eos>	-16.198
L__NOUN_VERB_VERB	6	1	plur	observes	wrong	generated	I serve the claws on which I should harass your thief	1	False	323	8	11	I serve the claws on which I should harass your thief oppose : ( a ) Do you warn a decent tap about the longevity to senior bravery policies protected by ISI Express ? <eos>	-16.9369
L__NOUN_VERB_VERB	17	1	sing	understands	correct	generated	The dear document prisoners wash there	1	False	228	4	6	The dear document prisoners wash there includes grab to the label . <eos>	-17.1875
L__NOUN_VERB_VERB	17	1	sing	understand	wrong	generated	The dear document prisoners wash there	1	False	2723	4	6	The dear document prisoners wash there includes grab to the label . <eos>	-15.3744
L__NOUN_VERB_VERB	14	7	sing	reports	correct	generated	A Jim highway improved in Napa seven	0	False	4617	5	7	"A Jim highway improved in Napa seven relates , "" Due to its permission astride the Mann Jim , Ernie has slowly been a resolution to the CEO . <eos>"	-15.6613
L__NOUN_VERB_VERB	14	7	sing	report	wrong	generated	A Jim highway improved in Napa seven	0	False	7585	5	7	"A Jim highway improved in Napa seven relates , "" Due to its permission astride the Mann Jim , Ernie has slowly been a resolution to the CEO . <eos>"	-17.7866
R__VERB_NOUN_CCONJ_VERB	6	0	plur	require	correct	original	If you have any questions or	0	False	4657	4	6	If you have any questions or require any assistance at all , please contact Hope Duncan at 202.739.0134 or Jeff Mangold at 703.729.2710 . <eos>	-10.229
R__VERB_NOUN_CCONJ_VERB	6	0	plur	requires	wrong	original	If you have any questions or	0	False	3879	4	6	If you have any questions or require any assistance at all , please contact Hope Duncan at 202.739.0134 or Jeff Mangold at 703.729.2710 . <eos>	-9.38238
R__VERB_NOUN_CCONJ_VERB	10	6	plur	like	correct	generated	You intend the negotiation and	0	False	26462	4	5	You intend the negotiation and deserve nature tuna into the desire . <eos>	-10.2157
R__VERB_NOUN_CCONJ_VERB	10	6	plur	likes	wrong	generated	You intend the negotiation and	0	False	581	4	5	You intend the negotiation and deserve nature tuna into the desire . <eos>	-12.0768
R__VERB_NOUN_CCONJ_VERB	3	0	plur	need	correct	original	Please let me know if you have any questions or	0	False	9900	4	10	Please let me know if you have any questions or need anything else . <eos>	-5.32806
R__VERB_NOUN_CCONJ_VERB	3	0	plur	needs	wrong	original	Please let me know if you have any questions or	0	False	4816	4	10	Please let me know if you have any questions or need anything else . <eos>	-4.42074
L__NOUN_VERB_VERB	18	0	sing	is	correct	original	The only notable difference I have noticed	0	False	649202	4	7	The only notable difference I have noticed is that in the south of Ireland one night of the wake is often held in the chapel the night before the funeral , this tradition started after the civil war . <eos>	-0.426558
L__NOUN_VERB_VERB	18	0	sing	are	wrong	original	The only notable difference I have noticed	0	False	261453	4	7	The only notable difference I have noticed is that in the south of Ireland one night of the wake is often held in the chapel the night before the funeral , this tradition started after the civil war . <eos>	-4.02238
R__VERB_NOUN_CCONJ_VERB	13	1	plur	explain	correct	generated	They exponentially understand if you remain jury in your network , ( for launchers like me ) , they seem an investment of the twin and	0	True	2136	7	26	They exponentially understand if you remain jury in your network , ( for launchers like me ) , they seem an investment of the twin and assume multiple allegations to survive . <eos>	-11.895
R__VERB_NOUN_CCONJ_VERB	13	1	plur	explains	wrong	generated	They exponentially understand if you remain jury in your network , ( for launchers like me ) , they seem an investment of the twin and	0	True	1823	7	26	They exponentially understand if you remain jury in your network , ( for launchers like me ) , they seem an investment of the twin and assume multiple allegations to survive . <eos>	-12.713
L__NOUN_VERB_VERB	0	8	sing	offers	correct	generated	The strength to conclude in duty	0	False	5191	5	6	The strength to conclude in duty enables that Malaysian Asian tankers and Seas and perfect Jamaican beers are naked to destroy badly publicly painful to the Alaska in Israel than al - Sam intellectuals , and it would be monthly to believe one 's aspects off the visual mayor . <eos>	-9.33267
L__NOUN_VERB_VERB	0	8	sing	offer	wrong	generated	The strength to conclude in duty	0	False	5822	5	6	The strength to conclude in duty enables that Malaysian Asian tankers and Seas and perfect Jamaican beers are naked to destroy badly publicly painful to the Alaska in Israel than al - Sam intellectuals , and it would be monthly to believe one 's aspects off the visual mayor . <eos>	-12.0272
L__NOUN_VERB_VERB	1	6	sing	lives	correct	generated	An electronic entourage earned in thirty	0	False	6002	4	6	"An electronic entourage earned in thirty refuses there understand trillion "" secretaries "" in the Everett Ages , but educated workers are properly darker than this . <eos>"	-9.56335
L__NOUN_VERB_VERB	1	6	sing	live	wrong	generated	An electronic entourage earned in thirty	0	False	14328	4	6	"An electronic entourage earned in thirty refuses there understand trillion "" secretaries "" in the Everett Ages , but educated workers are properly darker than this . <eos>"	-7.9728
L__NOUN_VERB_VERB	7	0	sing	points	correct	original	Can you accept that the road we are travelling	0	False	12408	4	9	Can you accept that the road we are travelling points toward a grim and painful future ? <eos>	-12.2714
L__NOUN_VERB_VERB	7	0	sing	point	wrong	original	Can you accept that the road we are travelling	0	False	19649	4	9	Can you accept that the road we are travelling points toward a grim and painful future ? <eos>	-12.6254
R__VERB_NOUN_CCONJ_VERB	12	7	sing	reports	correct	generated	Beware for a teacher of facilities in their frame that provides from the poverty and	0	False	4617	5	15	Beware for a teacher of facilities in their frame that provides from the poverty and looks reasonably to the country fo the weapon . <eos>	-10.7306
R__VERB_NOUN_CCONJ_VERB	12	7	sing	report	wrong	generated	Beware for a teacher of facilities in their frame that provides from the poverty and	0	False	7585	5	15	Beware for a teacher of facilities in their frame that provides from the poverty and looks reasonably to the country fo the weapon . <eos>	-11.2554
L__NOUN_VERB_VERB	11	7	plur	apply	correct	generated	The actual friendly lyrics that somewhat would preserve from wall	2	False	2730	7	10	The actual friendly lyrics that somewhat would preserve from wall allow testimony , password , personality , climber , small floor and tragic coupons of creatures and fry -- wounded as the Phoenix hitch . <eos>	-12.3437
L__NOUN_VERB_VERB	11	7	plur	applies	wrong	generated	The actual friendly lyrics that somewhat would preserve from wall	2	False	1246	7	10	The actual friendly lyrics that somewhat would preserve from wall allow testimony , password , personality , climber , small floor and tragic coupons of creatures and fry -- wounded as the Phoenix hitch . <eos>	-15.9793
R__VERB_NOUN_CCONJ_VERB	2	5	plur	pass	correct	generated	Groups aggressively : Nancy sixteen through UK thousand ( accepting you condemn on the sample we suffer and	0	True	5087	7	18	Groups aggressively : Nancy sixteen through UK thousand ( accepting you condemn on the sample we suffer and provide vigorously to northeast the background after we describe ) <eos>	-7.98876
R__VERB_NOUN_CCONJ_VERB	2	5	plur	passes	wrong	generated	Groups aggressively : Nancy sixteen through UK thousand ( accepting you condemn on the sample we suffer and	0	True	3400	7	18	Groups aggressively : Nancy sixteen through UK thousand ( accepting you condemn on the sample we suffer and provide vigorously to northeast the background after we describe ) <eos>	-10.1864
L__NOUN_VERB_VERB	0	4	sing	affirms	correct	generated	The conclusion to want in rock	0	False	80	5	6	The conclusion to want in rock owes that Spanish Afghan symptoms and Wars and wholesale Bangladeshi flakes are silent to settle soon jointly friendly to the Alexandria in Antonio than al - Peggy orders , and it would be ridiculous to grab one 's advisors off the frightening spin . <eos>	-14.956
L__NOUN_VERB_VERB	0	4	sing	affirm	wrong	generated	The conclusion to want in rock	0	False	127	5	6	The conclusion to want in rock owes that Spanish Afghan symptoms and Wars and wholesale Bangladeshi flakes are silent to settle soon jointly friendly to the Alexandria in Antonio than al - Peggy orders , and it would be ridiculous to grab one 's advisors off the frightening spin . <eos>	-13.6713
R__VERB_NOUN_CCONJ_VERB	7	7	sing	calls	correct	generated	As you make above the conscience , the trend of the controversial drug plays your cave and	0	True	3880	4	17	As you make above the conscience , the trend of the controversial drug plays your cave and supports you reduce safer and larger . <eos>	-8.5377
R__VERB_NOUN_CCONJ_VERB	7	7	sing	call	wrong	generated	As you make above the conscience , the trend of the controversial drug plays your cave and	0	True	6344	4	17	As you make above the conscience , the trend of the controversial drug plays your cave and supports you reduce safer and larger . <eos>	-7.81071
L__NOUN_VERB_VERB	18	9	sing	uses	correct	generated	The electrostatic brave laptop I have fallen	0	False	7477	4	7	The electrostatic brave laptop I have fallen indicates that in the gender of Elena eight dirt of the juice is extremely filled in the traffic the hospitality before the gate , this context joined after the beautiful variety . <eos>	-13.302
L__NOUN_VERB_VERB	18	9	sing	use	wrong	generated	The electrostatic brave laptop I have fallen	0	False	47118	4	7	The electrostatic brave laptop I have fallen indicates that in the gender of Elena eight dirt of the juice is extremely filled in the traffic the hospitality before the gate , this context joined after the beautiful variety . <eos>	-12.8904
L__NOUN_VERB_VERB	17	8	sing	allows	correct	generated	The strong web manners thank there	1	False	5948	4	6	The strong web manners thank there incorporates manipulate to the reef . <eos>	-9.78139
L__NOUN_VERB_VERB	17	8	sing	allow	wrong	generated	The strong web manners thank there	1	False	8990	4	6	The strong web manners thank there incorporates manipulate to the reef . <eos>	-10.2728
L__NOUN_VERB_VERB	13	9	sing	appears	correct	generated	"Because of the nature that his practical buildup with Halliburton Arabic had combined him , he caught profits safe as : "" You can recover a reporter and a gambling , eight speaker you ca n't harass"	0	True	7012	5	37	"Because of the nature that his practical buildup with Halliburton Arabic had combined him , he caught profits safe as : "" You can recover a reporter and a gambling , eight speaker you ca n't harass appears why you 're grand onwards "" and caused females to the "" Forest Kerry "" schooling doing that "" recently he failed Current coupons to hear really considerable as a knife "" . <eos>"	-14.1939
L__NOUN_VERB_VERB	13	9	sing	appear	wrong	generated	"Because of the nature that his practical buildup with Halliburton Arabic had combined him , he caught profits safe as : "" You can recover a reporter and a gambling , eight speaker you ca n't harass"	0	True	7652	5	37	"Because of the nature that his practical buildup with Halliburton Arabic had combined him , he caught profits safe as : "" You can recover a reporter and a gambling , eight speaker you ca n't harass appears why you 're grand onwards "" and caused females to the "" Forest Kerry "" schooling doing that "" recently he failed Current coupons to hear really considerable as a knife "" . <eos>"	-13.0536
L__NOUN_VERB_VERB	19	5	plur	ensure	correct	generated	the adequate resolutions we choose in our box	1	False	3569	6	8	the adequate resolutions we choose in our box affirm ; we prefer programme lap for easter , store site and midst - destiny for Salt . <eos>	-10.0576
L__NOUN_VERB_VERB	19	5	plur	ensures	wrong	generated	the adequate resolutions we choose in our box	1	False	399	6	8	the adequate resolutions we choose in our box affirm ; we prefer programme lap for easter , store site and midst - destiny for Salt . <eos>	-8.22142
R__VERB_NOUN_CCONJ_VERB	7	6	sing	leads	correct	generated	As you suggest above the dentist , the majority of the free telephony relates your hypocrisy and	0	True	3319	4	17	As you suggest above the dentist , the majority of the free telephony relates your hypocrisy and wakes you remain fewer and happier . <eos>	-8.74761
R__VERB_NOUN_CCONJ_VERB	7	6	sing	lead	wrong	generated	As you suggest above the dentist , the majority of the free telephony relates your hypocrisy and	0	True	12758	4	17	As you suggest above the dentist , the majority of the free telephony relates your hypocrisy and wakes you remain fewer and happier . <eos>	-9.61759
L__NOUN_VERB_VERB	8	9	sing	remains	correct	generated	Instead approve your devices to withdraw this abundantly to their centuries , and deeply again , so that the technology to vary her	0	True	9459	4	23	Instead approve your devices to withdraw this abundantly to their centuries , and deeply again , so that the technology to vary her thinks apart . <eos>	-8.27558
L__NOUN_VERB_VERB	8	9	sing	remain	wrong	generated	Instead approve your devices to withdraw this abundantly to their centuries , and deeply again , so that the technology to vary her	0	True	6999	4	23	Instead approve your devices to withdraw this abundantly to their centuries , and deeply again , so that the technology to vary her thinks apart . <eos>	-10.1399
L__NOUN_VERB_VERB	23	4	sing	responds	correct	generated	Well , unless also sufficiently the third traveler he came in the reservation	0	True	375	6	13	Well , unless also sufficiently the third traveler he came in the reservation plays out . <eos>	-13.8714
L__NOUN_VERB_VERB	23	4	sing	respond	wrong	generated	Well , unless also sufficiently the third traveler he came in the reservation	0	True	1271	6	13	Well , unless also sufficiently the third traveler he came in the reservation plays out . <eos>	-15.0623
R__VERB_NOUN_CCONJ_VERB	2	6	plur	sink	correct	generated	Participants obviously : Morton four through Aid fifty ( inciting you develop on the mountain we pose and	0	True	580	7	18	Participants obviously : Morton four through Aid fifty ( inciting you develop on the mountain we pose and pay recently to vegetable the king after we suggest ) <eos>	-10.1239
R__VERB_NOUN_CCONJ_VERB	2	6	plur	sinks	wrong	generated	Participants obviously : Morton four through Aid fifty ( inciting you develop on the mountain we pose and	0	True	178	7	18	Participants obviously : Morton four through Aid fifty ( inciting you develop on the mountain we pose and pay recently to vegetable the king after we suggest ) <eos>	-11.7355
R__VERB_NOUN_CCONJ_VERB	4	7	plur	deserve	correct	generated	Stay me censor if you meet any submarines or	0	False	208	4	9	Stay me censor if you meet any submarines or dislike anything accurate . <eos>	-13.074
