pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	ngram_lstm_hidden650_batch256_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr5.0	ngram_lstm_hidden650_batch512_dropout0.1_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.2_lr10.0	ngram_lstm_hidden650_batch512_dropout0.0_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.0_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr10.0	ngram_lstm_hidden650_batch256_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr10.0	ngram_lstm_hidden650_batch256_dropout0.1_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr20.0	ngram_lstm_hidden650_batch256_dropout0.0_lr1.0	ngram_lstm_hidden650_batch256_dropout0.2_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr5.0	ngram_lstm_hidden650_batch256_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr10.0	ngram_lstm_hidden650_batch512_dropout0.1_lr10.0	ngram_lstm_hidden650_batch512_dropout0.2_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr20.0
L__NOUN_VERB_VERB	20	2	sing	eat	wrong	generated	The asymmetrical migrant I saved incredibly from them in the first congregation	0	False	1652	10	12	The asymmetrical migrant I saved incredibly from them in the first congregation enjoys because my magical flesh who assured with them was claiming out on his implicit . <eos>	-14.3731	-13.5868	-14.7071	-13.2898	-15.927	-15.9334	-14.4843	-15.1375	-13.6177	-14.5872	-12.8034	-12.3646	-13.8393	-13.6354	-13.0294	-13.3241	-12.7361	-13.6891	-15.7992	-14.4612	-13.5735	-16.4102	-13.2151	-13.7046	-13.3481	-12.6367	-12.2316	-13.4979	-13.8976	-13.459	-13.1437	-14.5099	-13.4816	-15.4377	-14.4212	-14.2708
R__VERB_NOUN_CCONJ_VERB	5	2	plur	blow	correct	generated	Bring me wash if you proceed any votes or	0	False	1100	4	9	Bring me wash if you proceed any votes or die anything undecided . <eos>	-13.1085	-11.9909	-9.06614	-8.68494	-9.63943	-10.1386	-9.82227	-10.2247	-11.1725	-10.0544	-9.72261	-11.5722	-11.3634	-9.68506	-10.2972	-10.5726	-9.38137	-10.7783	-8.54446	-9.47092	-9.78682	-10.2552	-11.2211	-11.5568	-9.82435	-9.17519	-9.52987	-10.0103	-9.40141	-8.76235	-9.84396	-9.856	-10.0037	-11.7183	-9.0307	-10.0574
R__VERB_NOUN_CCONJ_VERB	5	2	plur	blows	wrong	generated	Bring me wash if you proceed any votes or	0	False	360	4	9	Bring me wash if you proceed any votes or die anything undecided . <eos>	-13.0337	-10.3014	-10.1632	-10.4896	-11.0068	-12.1016	-10.6931	-11.5036	-11.5568	-11.1881	-10.3575	-11.1082	-11.3349	-11.6065	-11.384	-10.8077	-9.80498	-10.6147	-10.0729	-12.2826	-10.6739	-13.5697	-10.4159	-11.2639	-8.56667	-13.0011	-10.2514	-11.7626	-10.3222	-11.5596	-10.9412	-10.3551	-10.928	-11.7467	-9.63715	-12.4792
L__NOUN_VERB_VERB	2	6	plur	find	correct	generated	<unk> I do n't begin to the balcony that the clergy we seek or spend to	1	False	10202	6	16	Whie I do n't begin to the balcony that the clergy we seek or spend to seek no aluminum on our class ( which I respond is regularly permanent ) , it does merge me why technologies manage out a wholesale stream of trees to convince the merchant on . <eos>	-4.81565	-6.05976	-4.41235	-4.57775	-5.31677	-4.65662	-6.15292	-5.57966	-7.0839	-4.97305	-4.9198	-4.47943	-6.32543	-5.27541	-6.3748	-4.92418	-4.28591	-4.24505	-4.28063	-4.48295	-5.02567	-4.96012	-4.07021	-3.76741	-4.69187	-5.17601	-5.67809	-5.96359	-4.2138	-5.68402	-3.2154	-4.94597	-4.7528	-6.37182	-3.82447	-4.96228
L__NOUN_VERB_VERB	2	6	plur	finds	wrong	generated	<unk> I do n't begin to the balcony that the clergy we seek or spend to	1	False	3408	6	16	Whie I do n't begin to the balcony that the clergy we seek or spend to seek no aluminum on our class ( which I respond is regularly permanent ) , it does merge me why technologies manage out a wholesale stream of trees to convince the merchant on . <eos>	-17.2001	-14.1553	-14.7707	-13.7475	-14.9266	-13.9429	-14.1752	-13.6776	-14.2693	-13.3343	-14.2191	-15.1363	-13.8645	-11.6103	-14.2743	-13.4726	-12.8236	-15.0003	-13.1389	-12.4943	-11.7906	-14.0129	-14.3415	-12.1496	-14.5314	-14.6601	-13.5437	-14.8176	-13.3766	-13.0515	-14.5373	-12.9161	-13.6748	-14.0292	-13.4038	-13.6265
L__NOUN_VERB_VERB	9	3	plur	spend	correct	generated	But appropriate recommendations do preserve the revision they manage he will prescribe , and the operations who listen him	1	True	2073	4	19	But appropriate recommendations do preserve the revision they manage he will prescribe , and the operations who listen him pay to attach the envelopes who extend him . <eos>	-12.9333	-12.5935	-11.8739	-12.9448	-12.129	-14.0888	-13.1228	-12.6161	-14.7479	-13.3156	-11.8495	-12.2832	-13.7307	-12.4151	-12.4844	-13.4314	-11.8639	-16.6816	-11.295	-11.0804	-11.8405	-13.9101	-11.6983	-10.7138	-13.4919	-13.3413	-11.5258	-12.6157	-13.4581	-12.653	-13.9189	-12.868	-13.1942	-14.2767	-13.4129	-13.3572
L__NOUN_VERB_VERB	9	3	plur	spends	wrong	generated	But appropriate recommendations do preserve the revision they manage he will prescribe , and the operations who listen him	1	True	506	4	19	But appropriate recommendations do preserve the revision they manage he will prescribe , and the operations who listen him pay to attach the envelopes who extend him . <eos>	-15.3286	-14.8422	-14.0176	-14.8129	-14.1179	-14.9464	-14.144	-13.0342	-13.3057	-13.9528	-14.5344	-13.0852	-13.2274	-13.2558	-13.5245	-14.5355	-12.7097	-14.3386	-13.794	-14.6516	-13.6581	-17.1351	-13.4931	-13.4508	-14.0005	-15.3052	-14.4467	-15.3431	-15.3015	-15.1716	-14.3889	-13.4957	-13.3403	-13.8879	-15.1367	-15.4997
L__NOUN_VERB_VERB	11	1	plur	address	correct	generated	The empty wavy secretaries that widely would verify from blog	2	False	3744	7	10	The empty wavy secretaries that widely would verify from blog allow potato , tip , cycle , diversity , convinced misconception and dirty surgeons of computers and roles -- western as the Norma nightmare . <eos>	-9.51305	-9.18371	-10.0201	-10.1792	-10.2408	-10.6836	-11.4859	-10.8495	-11.791	-10.4221	-9.51038	-7.55939	-12.034	-8.60166	-9.92637	-10.7893	-6.79512	-9.30536	-8.01217	-9.10601	-11.19	-6.6513	-7.885	-8.95044	-10.8619	-4.60315	-10.3679	-8.63254	-9.20607	-9.36291	-8.54485	-10.5202	-6.83927	-11.604	-9.45658	-8.73123
L__NOUN_VERB_VERB	11	1	plur	addresses	wrong	generated	The empty wavy secretaries that widely would verify from blog	2	False	938	7	10	The empty wavy secretaries that widely would verify from blog allow potato , tip , cycle , diversity , convinced misconception and dirty surgeons of computers and roles -- western as the Norma nightmare . <eos>	-7.28068	-6.99898	-7.84683	-8.28286	-13.0098	-8.7935	-7.71261	-9.13353	-9.78876	-9.0186	-11.3576	-6.64427	-10.5395	-7.41592	-7.96281	-7.08877	-6.17737	-8.12343	-6.9775	-9.50072	-7.96744	-5.80656	-7.26116	-6.87159	-8.24854	-6.96243	-8.40491	-7.31526	-7.85683	-8.95704	-6.79313	-8.69212	-5.70853	-9.86593	-8.3449	-8.82422
R__VERB_NOUN_CCONJ_VERB	2	9	plur	play	correct	generated	Leaders abruptly : Phoenix three through April six ( inciting you respond on the hatred we tell and	0	True	19515	7	18	Leaders abruptly : Phoenix three through April six ( inciting you respond on the hatred we tell and seem mutually to p the poisoning after we collaborate ) <eos>	-7.21041	-6.37084	-7.91967	-5.82962	-8.428	-7.70306	-8.17724	-8.32812	-7.23192	-7.77959	-6.64079	-7.39843	-7.06657	-5.65946	-8.41666	-7.63619	-11.0819	-7.75234	-6.10395	-7.05356	-6.09064	-7.91522	-7.17555	-5.93995	-6.56362	-6.70374	-8.86735	-8.36687	-8.37261	-8.77498	-7.33165	-7.76472	-6.93121	-8.37801	-10.3293	-6.98143
R__VERB_NOUN_CCONJ_VERB	2	9	plur	plays	wrong	generated	Leaders abruptly : Phoenix three through April six ( inciting you respond on the hatred we tell and	0	True	5579	7	18	Leaders abruptly : Phoenix three through April six ( inciting you respond on the hatred we tell and seem mutually to p the poisoning after we collaborate ) <eos>	-10.2434	-8.7944	-9.90742	-7.62028	-12.2169	-9.34761	-8.79208	-7.619	-9.28105	-9.08788	-8.33144	-9.76983	-10.1834	-7.62696	-8.77252	-9.5354	-10.3864	-9.38726	-7.99209	-8.42778	-6.97748	-9.3949	-7.4961	-8.55169	-7.03911	-10.5082	-8.37488	-9.03928	-9.82093	-7.67375	-8.79436	-9.24353	-11.3408	-9.06541	-10.5876	-9.22168
L__NOUN_VERB_VERB	7	6	sing	does	correct	generated	Can you emit that the colony we are pushing	0	False	18787	4	9	Can you emit that the colony we are pushing submits toward a huge and main stove ? <eos>	-9.04994	-11.8207	-12.1062	-9.85351	-9.17095	-10.1441	-10.2857	-9.73861	-11.7907	-10.5627	-10.1834	-9.0613	-11.7153	-11.825	-11.4533	-11.838	-10.521	-10.7919	-9.81922	-10.4171	-9.33135	-8.6936	-10.1515	-9.58765	-10.2252	-10.3051	-10.053	-10.204	-9.13822	-9.24374	-10.8827	-10.9235	-10.3543	-11.8501	-9.61141	-11.0592
L__NOUN_VERB_VERB	7	6	sing	do	wrong	generated	Can you emit that the colony we are pushing	0	False	28089	4	9	Can you emit that the colony we are pushing submits toward a huge and main stove ? <eos>	-10.561	-9.88263	-10.5672	-9.54986	-9.72168	-10.4217	-9.85944	-8.32401	-9.47721	-10.8838	-9.66894	-10.2036	-9.21712	-10.1393	-11.1552	-11.7231	-9.4585	-9.6566	-8.53542	-11.1492	-9.59658	-9.65304	-8.71257	-8.48854	-10.2576	-9.14052	-9.81527	-9.42295	-9.11568	-8.7136	-10.4297	-10.3167	-8.8533	-9.76132	-8.80874	-10.4936
L__NOUN_VERB_VERB	12	7	plur	are	correct	generated	Israeli sports that however would wander	1	False	261453	5	6	Israeli sports that however would wander eat grandchildren , club , Lieutenant route and some layers of stairs . <eos>	-7.88696	-8.54334	-8.75256	-8.00622	-9.37625	-9.23848	-8.83668	-11.058	-8.57456	-9.48918	-8.27464	-10.7951	-7.31684	-7.94439	-8.40122	-8.79012	-9.98938	-11.0009	-8.95305	-8.75738	-10.3278	-10.7084	-9.18867	-9.20525	-9.59051	-7.48529	-8.65398	-8.5854	-8.62744	-8.15431	-9.40914	-8.83741	-6.5771	-8.53579	-10.0873	-8.44195
L__NOUN_VERB_VERB	12	7	plur	is	wrong	generated	Israeli sports that however would wander	1	False	649202	5	6	Israeli sports that however would wander eat grandchildren , club , Lieutenant route and some layers of stairs . <eos>	-6.84766	-7.3044	-8.9431	-8.47759	-8.94357	-9.84596	-8.80647	-10.0428	-8.67678	-8.43734	-7.24241	-10.286	-8.37436	-7.32991	-8.01065	-9.03833	-9.10244	-8.79833	-8.74405	-7.21899	-8.64977	-10.0414	-8.37149	-10.5411	-8.40572	-6.1202	-8.47224	-10.0327	-9.14019	-9.51053	-9.46701	-8.32703	-6.10209	-8.55744	-9.32585	-8.63523
L__NOUN_VERB_VERB	8	1	sing	tends	correct	generated	Again adjust your plants to happen this aggressively to their books , and financially inevitably , so that the siege to determine her	0	True	1298	4	23	Again adjust your plants to happen this aggressively to their books , and financially inevitably , so that the siege to determine her thinks easily . <eos>	-15.9796	-15.174	-15.5267	-14.8769	-16.236	-14.0449	-15.1658	-17.9273	-13.992	-13.2683	-16.6537	-17.3749	-13.9058	-14.7149	-15.604	-13.9754	-17.8952	-17.3787	-15.3571	-16.6914	-16.8201	-17.3108	-15.5678	-16.1037	-17.6633	-17.4771	-12.7257	-17.02	-14.3948	-15.8933	-14.1508	-13.5859	-14.6963	-13.9084	-14.8431	-15.7491
L__NOUN_VERB_VERB	8	1	sing	tend	wrong	generated	Again adjust your plants to happen this aggressively to their books , and financially inevitably , so that the siege to determine her	0	True	3201	4	23	Again adjust your plants to happen this aggressively to their books , and financially inevitably , so that the siege to determine her thinks easily . <eos>	-15.2487	-14.8306	-16.9084	-14.9141	-16.427	-14.297	-16.0823	-16.0401	-12.7291	-13.5579	-15.2576	-17.4945	-12.6638	-14.0569	-16.4805	-15.2221	-17.7151	-16.9335	-13.8294	-14.6138	-16.4388	-16.0645	-15.4259	-17.1832	-18.5879	-16.028	-13.405	-17.1129	-14.4424	-16.8523	-14.769	-12.9922	-14.8416	-12.6248	-14.8148	-17.776
L__NOUN_VERB_VERB	21	8	sing	advises	correct	generated	The independent vast faith that he happens	1	False	265	4	7	The independent vast faith that he happens applies that he frequently threatens his currents and strictly pretends happy with his provincial drama . <eos>	-16.2154	-15.1464	-15.8016	-15.7592	-16.5763	-15.3252	-15.3513	-16.9936	-14.5447	-14.8598	-13.6486	-16.2691	-14.5174	-14.9959	-15.6727	-16.2247	-17.0258	-17.3433	-18.025	-15.8631	-16.6683	-15.6411	-15.634	-15.724	-16.6789	-18.9363	-14.9094	-17.5906	-14.9014	-17.4709	-16.0234	-14.6543	-14.7117	-16.3166	-16.6218	-15.8069
L__NOUN_VERB_VERB	21	8	sing	advise	wrong	generated	The independent vast faith that he happens	1	False	388	4	7	The independent vast faith that he happens applies that he frequently threatens his currents and strictly pretends happy with his provincial drama . <eos>	-20.7412	-15.055	-16.3062	-16.0855	-18.6944	-16.8361	-15.715	-17.4251	-15.7494	-16.8391	-15.0335	-19.623	-15.6069	-15.6331	-16.5104	-15.2936	-18.7549	-19.3522	-17.178	-16.6315	-16.6118	-18.6226	-16.8115	-16.7126	-18.1199	-18.8639	-14.6228	-17.4826	-15.3849	-18.5621	-17.1002	-16.4347	-15.5256	-17.2178	-16.6314	-17.7109
L__NOUN_VERB_VERB	8	6	sing	relates	correct	generated	Additionally approve your gentlemen to succeed this accordingly to their keys , and nowadays uniquely , so that the bull to remain her	0	True	782	4	23	Additionally approve your gentlemen to succeed this accordingly to their keys , and nowadays uniquely , so that the bull to remain her knows especially . <eos>	-12.825	-15.8391	-16.2857	-16.1759	-16.4034	-15.3536	-16.2077	-16.0467	-15.4885	-14.5984	-17.6507	-17.0536	-15.1631	-15.661	-16.3723	-16.4822	-15.4899	-18.6566	-18.6307	-15.9453	-18.0926	-17.5434	-17.5453	-16.6218	-15.8363	-16.1221	-16.1584	-16.2744	-16.0647	-18.195	-15.858	-14.4903	-15.6101	-16.3203	-16.2856	-15.479
L__NOUN_VERB_VERB	8	6	sing	relate	wrong	generated	Additionally approve your gentlemen to succeed this accordingly to their keys , and nowadays uniquely , so that the bull to remain her	0	True	685	4	23	Additionally approve your gentlemen to succeed this accordingly to their keys , and nowadays uniquely , so that the bull to remain her knows especially . <eos>	-11.6486	-14.7258	-15.627	-15.5433	-17.1789	-14.6019	-14.9622	-17.0539	-14.4554	-14.3598	-15.861	-15.0696	-13.96	-15.3164	-14.5932	-14.4567	-14.8872	-15.8532	-16.7519	-14.562	-15.5613	-15.7749	-14.0471	-14.3225	-16.3584	-14.6293	-15.2337	-15.3013	-14.9654	-16.5203	-15.1661	-13.9724	-14.5665	-14.466	-14.395	-16.4175
L__NOUN_VERB_VERB	1	4	sing	provides	correct	generated	An internal atmosphere offered in two	0	False	7409	4	6	"An internal atmosphere offered in two submits there apply two "" mosques "" in the UK Iraqis , but overwhelming submarines are halfway healthier than this . <eos>"	-14.1494	-12.1808	-13.3036	-11.959	-15.5065	-12.766	-10.9648	-11.993	-13.1101	-12.801	-14.4248	-12.7697	-12.9394	-14.6075	-12.365	-11.0286	-10.3034	-14.0808	-11.9313	-14.0564	-11.4189	-13.0085	-14.5409	-13.1796	-12.6949	-11.828	-12.917	-14.0284	-13.5372	-13.9673	-11.8625	-11.9043	-12.7596	-13.4844	-12.9062	-13.1504
L__NOUN_VERB_VERB	1	4	sing	provide	wrong	generated	An internal atmosphere offered in two	0	False	12768	4	6	"An internal atmosphere offered in two submits there apply two "" mosques "" in the UK Iraqis , but overwhelming submarines are halfway healthier than this . <eos>"	-12.7176	-11.8975	-12.8799	-11.5278	-17.6767	-12.7702	-11.9828	-14.7635	-12.4442	-12.7288	-14.03	-13.7517	-11.9723	-14.0959	-13.1206	-11.7363	-11.9526	-11.527	-13.2266	-13.5312	-12.3034	-15.6948	-13.2427	-13.248	-14.0887	-15.5706	-12.3863	-13.5067	-13.0085	-14.1642	-11.4366	-11.9941	-13.452	-11.1218	-13.4535	-12.1819
