pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent
R__NOUN_NOUN_DET_ADJ	2	9	plur	עצביים	correct	generated	ה נשיאות ה פוסטמודרנית של רגשות - ה ניאוף היא ש אם מוצאי ה ססמה , ה קילוף ו ה דילמה ה	3	True	380	10	22	"ה נשיאות ה פוסטמודרנית של רגשות - ה ניאוף היא ש אם מוצאי ה ססמה , ה קילוף ו ה דילמה ה ישנים אסורים ב דוגמיות , מה ש מחשיב ו עדיין "" עקוב "" הוא להחזיר אל פרקליט ה התפטרות כדי לעלות ממנו אותו עונש פרוטה ו השתתפות יוגוסלבית ( לא מושגית ! ) ש נדדו בשעתו שדות ה מכונית . <eos>"
R__NOUN_NOUN_DET_ADJ	2	9	plur	עצבי	wrong	generated	ה נשיאות ה פוסטמודרנית של רגשות - ה ניאוף היא ש אם מוצאי ה ססמה , ה קילוף ו ה דילמה ה	3	True	591	10	22	"ה נשיאות ה פוסטמודרנית של רגשות - ה ניאוף היא ש אם מוצאי ה ססמה , ה קילוף ו ה דילמה ה ישנים אסורים ב דוגמיות , מה ש מחשיב ו עדיין "" עקוב "" הוא להחזיר אל פרקליט ה התפטרות כדי לעלות ממנו אותו עונש פרוטה ו השתתפות יוגוסלבית ( לא מושגית ! ) ש נדדו בשעתו שדות ה מכונית . <eos>"
L__NOUN_VERB_PUNCT_VERB	2	8	sing	אופה	correct	generated	"ה סרן ה מאוזוליאום - מנומר , ב ספרייה ה קצבה "" יש בריון סורר "" ,"	0	True	222	7	17	"ה סרן ה מאוזוליאום - מנומר , ב ספרייה ה קצבה "" יש בריון סורר "" , נרפא אותנו החודש ב קרפדות קאמריות של מכתב זה . <eos>"
L__NOUN_VERB_PUNCT_VERB	2	8	sing	אופים	wrong	generated	"ה סרן ה מאוזוליאום - מנומר , ב ספרייה ה קצבה "" יש בריון סורר "" ,"	0	True	107	7	17	"ה סרן ה מאוזוליאום - מנומר , ב ספרייה ה קצבה "" יש בריון סורר "" , נרפא אותנו החודש ב קרפדות קאמריות של מכתב זה . <eos>"
R__NOUN_NOUN_DET_ADJ	93	3	plur	מעובדים	correct	generated	ב כך היו ל שלושה מבין כ 1,800 ה שדרנים ה שורפים את קברי ה מיטה ה	1	False	118	4	17	ב כך היו ל שלושה מבין כ 1,800 ה שדרנים ה שורפים את קברי ה מיטה ה רפורמים ב בלייר ב התקשות ה שעווה ה פראית . <eos>
R__NOUN_NOUN_DET_ADJ	93	3	plur	מעובד	wrong	generated	ב כך היו ל שלושה מבין כ 1,800 ה שדרנים ה שורפים את קברי ה מיטה ה	1	False	311	4	17	ב כך היו ל שלושה מבין כ 1,800 ה שדרנים ה שורפים את קברי ה מיטה ה רפורמים ב בלייר ב התקשות ה שעווה ה פראית . <eos>
R__NOUN_ADJ_PUNCT_SCONJ_VERB	7	2	plur	מתיישבים	correct	generated	ל תלמידיו , ה מוטיבים ה אמריקאיים , ה	0	True	2626	5	9	ל תלמידיו , ה מוטיבים ה אמריקאיים , ה הקרדאסים ב תיק ה גומץ , מפחדים עם תריסים מן ה מהימנים ביותר . <eos>
R__NOUN_ADJ_PUNCT_SCONJ_VERB	7	2	plur	מתיישב	wrong	generated	ל תלמידיו , ה מוטיבים ה אמריקאיים , ה	0	True	248	5	9	ל תלמידיו , ה מוטיבים ה אמריקאיים , ה הקרדאסים ב תיק ה גומץ , מפחדים עם תריסים מן ה מהימנים ביותר . <eos>
R__NOUN_NOUN_DET_ADJ	140	3	plur	דמוגרפיים	correct	generated	זו לא ה בצורת ש נפלטה את תנאי ה דיונות או פרצי ה צעצועים ה	0	False	89	4	15	זו לא ה בצורת ש נפלטה את תנאי ה דיונות או פרצי ה צעצועים ה אפקטיביים . <eos>
R__NOUN_NOUN_DET_ADJ	140	3	plur	דמוגרפי	wrong	generated	זו לא ה בצורת ש נפלטה את תנאי ה דיונות או פרצי ה צעצועים ה	0	False	233	4	15	זו לא ה בצורת ש נפלטה את תנאי ה דיונות או פרצי ה צעצועים ה אפקטיביים . <eos>
L__NOUN_NOUN_ADJ_VERB	0	4	sing	משוכנע	correct	generated	ה נטופה הוא ללא קרנבל ה דרשן ה עביר ל רצון ב פגישות ; עונש ה תקן ה פילוסוף	0	True	344	5	19	"ה נטופה הוא ללא קרנבל ה דרשן ה עביר ל רצון ב פגישות ; עונש ה תקן ה פילוסוף מקצר אמבטיות הרות , ו לעתים מתייחד ה אקוויפר ל ניזוק ; כאשר אניו ו ה מיליציה גאורגיים את ה מירוץ שלהם , בין צידיו ו מנועי , ב אקורד של ה תובענה , מכחיש לו אבקסיס אפטא , ב צו ניקור קולומביאני , ו מסלק ל אלברטו באסקט את "" אורח כרטיסי ה חימה שלי "" . <eos>"
L__NOUN_NOUN_ADJ_VERB	0	4	sing	משוכנעים	wrong	generated	ה נטופה הוא ללא קרנבל ה דרשן ה עביר ל רצון ב פגישות ; עונש ה תקן ה פילוסוף	0	True	107	5	19	"ה נטופה הוא ללא קרנבל ה דרשן ה עביר ל רצון ב פגישות ; עונש ה תקן ה פילוסוף מקצר אמבטיות הרות , ו לעתים מתייחד ה אקוויפר ל ניזוק ; כאשר אניו ו ה מיליציה גאורגיים את ה מירוץ שלהם , בין צידיו ו מנועי , ב אקורד של ה תובענה , מכחיש לו אבקסיס אפטא , ב צו ניקור קולומביאני , ו מסלק ל אלברטו באסקט את "" אורח כרטיסי ה חימה שלי "" . <eos>"
R__NOUN_NOUN_DET_ADJ	25	8	plur	הרוסות	correct	generated	אחרי כר ו שועל מאוס היכו שינויי ה מרקם ל תגובתה של הפסקות ה הכנעה ה	1	False	55	4	16	אחרי כר ו שועל מאוס היכו שינויי ה מרקם ל תגובתה של הפסקות ה הכנעה ה אקראיות לנהל את ה משביר ה מוסיקלי . <eos>
R__NOUN_NOUN_DET_ADJ	25	8	plur	הרוסה	wrong	generated	אחרי כר ו שועל מאוס היכו שינויי ה מרקם ל תגובתה של הפסקות ה הכנעה ה	1	False	195	4	16	אחרי כר ו שועל מאוס היכו שינויי ה מרקם ל תגובתה של הפסקות ה הכנעה ה אקראיות לנהל את ה משביר ה מוסיקלי . <eos>
R__NOUN_DET_ADV_PUNCT_ADJ	16	4	sing	מנוקב	correct	generated	ב סיכום גונאר הוא הכריז כי ה פח ה בין -	0	True	73	4	11	ב סיכום גונאר הוא הכריז כי ה פח ה בין - מדוקדק טיפס חלוצים על תפקידיו , ו הרגיש כי מ הפחתה מכרעת אין ה משפט יכול להימנע עגל זה . <eos>
R__NOUN_DET_ADV_PUNCT_ADJ	16	4	sing	מנוקבים	wrong	generated	ב סיכום גונאר הוא הכריז כי ה פח ה בין -	0	True	55	4	11	ב סיכום גונאר הוא הכריז כי ה פח ה בין - מדוקדק טיפס חלוצים על תפקידיו , ו הרגיש כי מ הפחתה מכרעת אין ה משפט יכול להימנע עגל זה . <eos>
R__NOUN_NOUN_PUNCT_SCONJ_VERB	16	2	plur	מאוימים	correct	generated	הסדרי אלה התחרו על צבאות מחרת , ה	1	True	79	4	8	הסדרי אלה התחרו על צבאות מחרת , ה מבססים מכון צעדי ה דברים אל תוך ה לכסון מלמטה . <eos>
R__NOUN_NOUN_PUNCT_SCONJ_VERB	16	2	plur	מאוים	wrong	generated	הסדרי אלה התחרו על צבאות מחרת , ה	1	True	127	4	8	הסדרי אלה התחרו על צבאות מחרת , ה מבססים מכון צעדי ה דברים אל תוך ה לכסון מלמטה . <eos>
R__NOUN_NOUN_DET_ADJ	142	7	sing	תרבותית	correct	generated	הוא גם מימין , ש בלי ארנבות מ חץ ל רופאי הגדרתה ה מוזהבת , ינהג לסיים די שרוול ל רגש ועדת ה חבורות ה	1	True	2192	4	25	הוא גם מימין , ש בלי ארנבות מ חץ ל רופאי הגדרתה ה מוזהבת , ינהג לסיים די שרוול ל רגש ועדת ה חבורות ה תחבורתית ה איתנה , ש בלעדיה אין מחברי קבליים מסוגלים לענוד . <eos>
R__NOUN_NOUN_DET_ADJ	142	7	sing	תרבותיות	wrong	generated	הוא גם מימין , ש בלי ארנבות מ חץ ל רופאי הגדרתה ה מוזהבת , ינהג לסיים די שרוול ל רגש ועדת ה חבורות ה	1	True	450	4	25	הוא גם מימין , ש בלי ארנבות מ חץ ל רופאי הגדרתה ה מוזהבת , ינהג לסיים די שרוול ל רגש ועדת ה חבורות ה תחבורתית ה איתנה , ש בלעדיה אין מחברי קבליים מסוגלים לענוד . <eos>
R__NOUN_ADJ_DET_ADJ	15	8	sing	מציאותית	correct	generated	סביר להשיג ש ה קמיצה ה ברוכה ה	0	False	141	4	8	סביר להשיג ש ה קמיצה ה ברוכה ה מאובטחת תופעל ב אספקת ה אטימות ; היא הופצה לשם כך קמפוס מ ה רקעים . <eos>
R__NOUN_ADJ_DET_ADJ	15	8	sing	מציאותיות	wrong	generated	סביר להשיג ש ה קמיצה ה ברוכה ה	0	False	75	4	8	סביר להשיג ש ה קמיצה ה ברוכה ה מאובטחת תופעל ב אספקת ה אטימות ; היא הופצה לשם כך קמפוס מ ה רקעים . <eos>
R__NOUN_NOUN_PUNCT_SCONJ_VERB	4	1	sing	נסגרת	correct	generated	סוונסון רולניק , ש דפוס הגדרתה הותיר מ מלון 91 ו אילך , יוצגה ל השתתפות ה ריחוק ה ספונטני , ה	0	True	70	7	22	סוונסון רולניק , ש דפוס הגדרתה הותיר מ מלון 91 ו אילך , יוצגה ל השתתפות ה ריחוק ה ספונטני , ה האורומו ב חאקי את ה ערפל ה סדיר . <eos>
R__NOUN_NOUN_PUNCT_SCONJ_VERB	4	1	sing	נסגרות	wrong	generated	סוונסון רולניק , ש דפוס הגדרתה הותיר מ מלון 91 ו אילך , יוצגה ל השתתפות ה ריחוק ה ספונטני , ה	0	True	63	7	22	סוונסון רולניק , ש דפוס הגדרתה הותיר מ מלון 91 ו אילך , יוצגה ל השתתפות ה ריחוק ה ספונטני , ה האורומו ב חאקי את ה ערפל ה סדיר . <eos>
R__NOUN_NOUN_PUNCT_SCONJ_VERB	3	6	plur	מומלצים	correct	generated	אל שוחרי חקירת הוקינס - חמו דחו סוכני ה יתרון ה אתני ל לכידות ב ייחוס ו כוחות ה שחקן - אביתר - ליכט , ה	0	True	107	9	26	אל שוחרי חקירת הוקינס - חמו דחו סוכני ה יתרון ה אתני ל לכידות ב ייחוס ו כוחות ה שחקן - אביתר - ליכט , ה לוכדים להיעלם אם ל ריצוף היו מינונים בין - קונסיסטוריון כלשהם . <eos>
R__NOUN_NOUN_PUNCT_SCONJ_VERB	3	6	plur	מומלץ	wrong	generated	אל שוחרי חקירת הוקינס - חמו דחו סוכני ה יתרון ה אתני ל לכידות ב ייחוס ו כוחות ה שחקן - אביתר - ליכט , ה	0	True	652	9	26	אל שוחרי חקירת הוקינס - חמו דחו סוכני ה יתרון ה אתני ל לכידות ב ייחוס ו כוחות ה שחקן - אביתר - ליכט , ה לוכדים להיעלם אם ל ריצוף היו מינונים בין - קונסיסטוריון כלשהם . <eos>
R__NOUN_NOUN_DET_ADJ	137	5	sing	ארוטי	correct	generated	מ תותח הכריעו ה סעיפים מ הפעלת בידוק להפסיד את מחזור ה התנפחות ה	0	False	67	4	14	מ תותח הכריעו ה סעיפים מ הפעלת בידוק להפסיד את מחזור ה התנפחות ה עמיד של ה בטון ו להנהיג ב מחיר דלק פרוע . <eos>
R__NOUN_NOUN_DET_ADJ	137	5	sing	ארוטיים	wrong	generated	מ תותח הכריעו ה סעיפים מ הפעלת בידוק להפסיד את מחזור ה התנפחות ה	0	False	56	4	14	מ תותח הכריעו ה סעיפים מ הפעלת בידוק להפסיד את מחזור ה התנפחות ה עמיד של ה בטון ו להנהיג ב מחיר דלק פרוע . <eos>
R__NOUN_NOUN_DET_ADJ	68	5	plur	מקראיות	correct	generated	סכום ה מערכון מיצה להתעמת את אברהם ל מעצבי <unk> ו שוויון ה מסורת נגח ב וועדות ה אחוזת ב ציפייה ה	2	False	127	6	22	סכום ה מערכון מיצה להתעמת את אברהם ל מעצבי 5.6.67 ו שוויון ה מסורת נגח ב וועדות ה אחוזת ב ציפייה ה עקיפות ו ה תיכוניות , כ ב אהל כריזמטי בפני בלוטה של הפסדי צינור , בהם תתבצע ה הזדקרות את הצבת חובתה ב פריסת ה צב . <eos>
R__NOUN_NOUN_DET_ADJ	68	5	plur	מקראית	wrong	generated	סכום ה מערכון מיצה להתעמת את אברהם ל מעצבי <unk> ו שוויון ה מסורת נגח ב וועדות ה אחוזת ב ציפייה ה	2	False	953	6	22	סכום ה מערכון מיצה להתעמת את אברהם ל מעצבי 5.6.67 ו שוויון ה מסורת נגח ב וועדות ה אחוזת ב ציפייה ה עקיפות ו ה תיכוניות , כ ב אהל כריזמטי בפני בלוטה של הפסדי צינור , בהם תתבצע ה הזדקרות את הצבת חובתה ב פריסת ה צב . <eos>
R__NOUN_NOUN_DET_ADJ	117	2	sing	מתורגם	correct	generated	אהבים הקימברים מ ה ייעול ב תוספת ה טסי , בעיקר ל תנין ה פשיסטי , לנוכח תגובתה של הטלת ה מחקר להפסיד את קיבוץ ה אויב ל אובדן ה נאמני ה	1	True	354	4	32	אהבים הקימברים מ ה ייעול ב תוספת ה טסי , בעיקר ל תנין ה פשיסטי , לנוכח תגובתה של הטלת ה מחקר להפסיד את קיבוץ ה אויב ל אובדן ה נאמני ה אולימפי ו ל בעלי העשרת של השגת סנדלים . <eos>
R__NOUN_NOUN_DET_ADJ	117	2	sing	מתורגמים	wrong	generated	אהבים הקימברים מ ה ייעול ב תוספת ה טסי , בעיקר ל תנין ה פשיסטי , לנוכח תגובתה של הטלת ה מחקר להפסיד את קיבוץ ה אויב ל אובדן ה נאמני ה	1	True	286	4	32	אהבים הקימברים מ ה ייעול ב תוספת ה טסי , בעיקר ל תנין ה פשיסטי , לנוכח תגובתה של הטלת ה מחקר להפסיד את קיבוץ ה אויב ל אובדן ה נאמני ה אולימפי ו ל בעלי העשרת של השגת סנדלים . <eos>
R__NOUN_NOUN_DET_ADJ	22	9	sing	סלולרי	correct	generated	ב <unk> הוא ביסס ב סל הפסד ה שורות ה	1	False	464	4	10	ב 8891 הוא ביסס ב סל הפסד ה שורות ה יוויוס ל בוקסרים , ו לא שילם במיוחד כאשר היה צריך להילחם נגד ה מבקרי להיעדר מחדש את ה מפלג ה פורח רונן קנז מ הוושינגטון פיקארד . <eos>
R__NOUN_NOUN_DET_ADJ	22	9	sing	סלולריים	wrong	generated	ב <unk> הוא ביסס ב סל הפסד ה שורות ה	1	False	305	4	10	ב 8891 הוא ביסס ב סל הפסד ה שורות ה יוויוס ל בוקסרים , ו לא שילם במיוחד כאשר היה צריך להילחם נגד ה מבקרי להיעדר מחדש את ה מפלג ה פורח רונן קנז מ הוושינגטון פיקארד . <eos>
R__NOUN_ADJ_DET_ADJ	2	2	sing	רעיוני	correct	generated	גם לא הפיקסלים מ סחר ה פינוי מתאהבים ב סלט ה שלישי , ש עשוי היה להבטיח ה מזח ה מגוחך ה	0	True	250	4	22	גם לא הפיקסלים מ סחר ה פינוי מתאהבים ב סלט ה שלישי , ש עשוי היה להבטיח ה מזח ה מגוחך ה שווייצרי , משום החלטתה ה מדעית , טמאה ככל ש תהיה , ל שערים . <eos>
R__NOUN_ADJ_DET_ADJ	2	2	sing	רעיוניים	wrong	generated	גם לא הפיקסלים מ סחר ה פינוי מתאהבים ב סלט ה שלישי , ש עשוי היה להבטיח ה מזח ה מגוחך ה	0	True	113	4	22	גם לא הפיקסלים מ סחר ה פינוי מתאהבים ב סלט ה שלישי , ש עשוי היה להבטיח ה מזח ה מגוחך ה שווייצרי , משום החלטתה ה מדעית , טמאה ככל ש תהיה , ל שערים . <eos>
R__NOUN_DET_ADV_PUNCT_ADJ	26	5	plur	אומללות	correct	generated	ה כרזות ה לא -	0	True	64	4	5	ה כרזות ה לא - פיננסיות היו בעיקר אלה ש נאבקו ועדים ל אין - דולף ב התרמה כיצד להכין על ה ייצוא . <eos>
R__NOUN_DET_ADV_PUNCT_ADJ	26	5	plur	אומללה	wrong	generated	ה כרזות ה לא -	0	True	55	4	5	ה כרזות ה לא - פיננסיות היו בעיקר אלה ש נאבקו ועדים ל אין - דולף ב התרמה כיצד להכין על ה ייצוא . <eos>
R__NOUN_NOUN_DET_ADJ	150	6	sing	עשיר	correct	generated	"ב פלישת כרובים ש נמנעה ב 81 ב מוסטפא השנה ב ניל שפט מבנה ה אתאיסטית ל רשימות ה אחו , עו""ד אלקסיס יהודה , על "" גטו ה נגטיב ה"	0	True	2413	4	31	"ב פלישת כרובים ש נמנעה ב 81 ב מוסטפא השנה ב ניל שפט מבנה ה אתאיסטית ל רשימות ה אחו , עו""ד אלקסיס יהודה , על "" גטו ה נגטיב ה יטוינסקי להניח לידי מאבק את שלוש ה מקלחות של וסרמן , רודמן ו ווהן "" . <eos>"
R__NOUN_NOUN_DET_ADJ	150	6	sing	עשירי	wrong	generated	"ב פלישת כרובים ש נמנעה ב 81 ב מוסטפא השנה ב ניל שפט מבנה ה אתאיסטית ל רשימות ה אחו , עו""ד אלקסיס יהודה , על "" גטו ה נגטיב ה"	0	True	1762	4	31	"ב פלישת כרובים ש נמנעה ב 81 ב מוסטפא השנה ב ניל שפט מבנה ה אתאיסטית ל רשימות ה אחו , עו""ד אלקסיס יהודה , על "" גטו ה נגטיב ה יטוינסקי להניח לידי מאבק את שלוש ה מקלחות של וסרמן , רודמן ו ווהן "" . <eos>"
R__NOUN_NOUN_DET_ADJ	54	3	sing	מהותי	correct	generated	"ב מסך הרכב ה הומוסקסואלית , כש לא היו דיפלומטים ; כש ב מגדלור היה אפיון ; כש ב הולנד חיברו עף ; כש לא היו אהל , מחרת ו גירוש - שלמי ; כש זוגות הסבירו ב רומאנים ו ב בכורת במקום ב ציבורים ו ב היפראקטיביות הובאו נמר מסודר ל פרקליט טיפה ב פער ו להפריע כיצד "" לסבול "" בעד ה אנטנת ל משק ה דעה ש על דלתות ה חניון , או ל דירקטוריון ה פוני ה"	0	True	951	4	81	"ב מסך הרכב ה הומוסקסואלית , כש לא היו דיפלומטים ; כש ב מגדלור היה אפיון ; כש ב הולנד חיברו עף ; כש לא היו אהל , מחרת ו גירוש - שלמי ; כש זוגות הסבירו ב רומאנים ו ב בכורת במקום ב ציבורים ו ב היפראקטיביות הובאו נמר מסודר ל פרקליט טיפה ב פער ו להפריע כיצד "" לסבול "" בעד ה אנטנת ל משק ה דעה ש על דלתות ה חניון , או ל דירקטוריון ה פוני ה רחב ש ליד ה איבוד ב בחירת הילמן . <eos>"
R__NOUN_NOUN_DET_ADJ	54	3	sing	מהותיים	wrong	generated	"ב מסך הרכב ה הומוסקסואלית , כש לא היו דיפלומטים ; כש ב מגדלור היה אפיון ; כש ב הולנד חיברו עף ; כש לא היו אהל , מחרת ו גירוש - שלמי ; כש זוגות הסבירו ב רומאנים ו ב בכורת במקום ב ציבורים ו ב היפראקטיביות הובאו נמר מסודר ל פרקליט טיפה ב פער ו להפריע כיצד "" לסבול "" בעד ה אנטנת ל משק ה דעה ש על דלתות ה חניון , או ל דירקטוריון ה פוני ה"	0	True	304	4	81	"ב מסך הרכב ה הומוסקסואלית , כש לא היו דיפלומטים ; כש ב מגדלור היה אפיון ; כש ב הולנד חיברו עף ; כש לא היו אהל , מחרת ו גירוש - שלמי ; כש זוגות הסבירו ב רומאנים ו ב בכורת במקום ב ציבורים ו ב היפראקטיביות הובאו נמר מסודר ל פרקליט טיפה ב פער ו להפריע כיצד "" לסבול "" בעד ה אנטנת ל משק ה דעה ש על דלתות ה חניון , או ל דירקטוריון ה פוני ה רחב ש ליד ה איבוד ב בחירת הילמן . <eos>"
R__NOUN_NOUN_DET_ADJ	32	2	sing	דמוקרטית	correct	generated	"מנכ""ל ה כמורה ל עונש מבחן פפא , סוזוקי מוטי , שימש ב ישבן ש חיכה ב צירוף הלוויה ש השקיע על - משימות עול הפצצת ה התראה ה"	0	True	3375	4	29	"מנכ""ל ה כמורה ל עונש מבחן פפא , סוזוקי מוטי , שימש ב ישבן ש חיכה ב צירוף הלוויה ש השקיע על - משימות עול הפצצת ה התראה ה הסברתית של יוהאן ב אנדרגראונד , קיווייה צייטלין . <eos>"
R__NOUN_NOUN_DET_ADJ	32	2	sing	דמוקרטיות	wrong	generated	"מנכ""ל ה כמורה ל עונש מבחן פפא , סוזוקי מוטי , שימש ב ישבן ש חיכה ב צירוף הלוויה ש השקיע על - משימות עול הפצצת ה התראה ה"	0	True	728	4	29	"מנכ""ל ה כמורה ל עונש מבחן פפא , סוזוקי מוטי , שימש ב ישבן ש חיכה ב צירוף הלוויה ש השקיע על - משימות עול הפצצת ה התראה ה הסברתית של יוהאן ב אנדרגראונד , קיווייה צייטלין . <eos>"
R__NOUN_ADJ_DET_ADJ	19	2	sing	בדלנית	correct	generated	לפני כמה תעריפים ריוחה הורדת תותחנים של ה בורות ה גמישה ה	0	False	155	4	12	לפני כמה תעריפים ריוחה הורדת תותחנים של ה בורות ה גמישה ה נטורליסטית ב סאטורן חטיבת מתמטיקאים של פרסום צוותי ה תפוסה ל ציפייה ש יצאה ל תסכולו ב סגן ה השאלת . <eos>
R__NOUN_ADJ_DET_ADJ	19	2	sing	בדלניות	wrong	generated	לפני כמה תעריפים ריוחה הורדת תותחנים של ה בורות ה גמישה ה	0	False	50	4	12	לפני כמה תעריפים ריוחה הורדת תותחנים של ה בורות ה גמישה ה נטורליסטית ב סאטורן חטיבת מתמטיקאים של פרסום צוותי ה תפוסה ל ציפייה ש יצאה ל תסכולו ב סגן ה השאלת . <eos>
R__NOUN_NOUN_DET_ADJ	81	0	sing	מחוזי	correct	original	ל בית ה משפט ה	0	False	1479	4	5	"ל בית ה משפט ה מחוזי ב תל - אביב הוגש ב יום ששי כתב אישום נגד רוני לייבוביץ , בן 73 מ הרצליה , ש נודע כ "" שודד על ה אופנוע "" . <eos>"
R__NOUN_NOUN_DET_ADJ	81	0	sing	מחוזיים	wrong	original	ל בית ה משפט ה	0	False	144	4	5	"ל בית ה משפט ה מחוזי ב תל - אביב הוגש ב יום ששי כתב אישום נגד רוני לייבוביץ , בן 73 מ הרצליה , ש נודע כ "" שודד על ה אופנוע "" . <eos>"
R__NOUN_ADJ_DET_ADJ	69	5	sing	אפשרית	correct	generated	ב יידלברג תדרוש ל דמויותיו פרנסיס את ה דבקות ה רפורמית ה	0	False	1705	4	12	"ב יידלברג תדרוש ל דמויותיו פרנסיס את ה דבקות ה רפורמית ה מוחלטת ביותר ש סאבה אי - פעם לידי התעללות ב קצבאות ארה""ב . <eos>"
R__NOUN_ADJ_DET_ADJ	69	5	sing	אפשריות	wrong	generated	ב יידלברג תדרוש ל דמויותיו פרנסיס את ה דבקות ה רפורמית ה	0	False	949	4	12	"ב יידלברג תדרוש ל דמויותיו פרנסיס את ה דבקות ה רפורמית ה מוחלטת ביותר ש סאבה אי - פעם לידי התעללות ב קצבאות ארה""ב . <eos>"
L__NOUN_VERB_VERB	2	3	sing	מוכשר	correct	generated	מ עיבוד ש איבד אתמול ל מלון ה קבורת ב בוש	0	False	763	10	11	מ עיבוד ש איבד אתמול ל מלון ה קבורת ב בוש מתייצב , כי ב עירנות ה נאסרת יידישפיל אגן כ מאה מ שחקני ה גבעה . <eos>
L__NOUN_VERB_VERB	2	3	sing	מוכשרים	wrong	generated	מ עיבוד ש איבד אתמול ל מלון ה קבורת ב בוש	0	False	469	10	11	מ עיבוד ש איבד אתמול ל מלון ה קבורת ב בוש מתייצב , כי ב עירנות ה נאסרת יידישפיל אגן כ מאה מ שחקני ה גבעה . <eos>
