pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	ngram_lstm_hidden650_batch256_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr5.0	ngram_lstm_hidden650_batch512_dropout0.1_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.2_lr10.0	ngram_lstm_hidden650_batch512_dropout0.0_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.0_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr10.0	ngram_lstm_hidden650_batch256_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr10.0	ngram_lstm_hidden650_batch256_dropout0.1_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr20.0	ngram_lstm_hidden650_batch256_dropout0.0_lr1.0	ngram_lstm_hidden650_batch256_dropout0.2_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr5.0	ngram_lstm_hidden650_batch256_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr10.0	ngram_lstm_hidden650_batch512_dropout0.1_lr10.0	ngram_lstm_hidden650_batch512_dropout0.2_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr20.0
L__NOUN_VERB_VERB	20	2	sing	eat	wrong	generated	The asymmetrical migrant I saved incredibly from them in the first congregation	0	False	1652	10	12	The asymmetrical migrant I saved incredibly from them in the first congregation enjoys because my magical flesh who assured with them was claiming out on his implicit . <eos>	-14.3731	-14.8647	-14.6319	-12.2056	-15.927	-14.6142	-14.4849	-15.1375	-13.6815	-13.0867	-12.8034	-12.3646	-13.9005	-13.5268	-13.0402	-14.2513	-12.7361	-13.6891	-15.7992	-14.4612	-13.5735	-16.4102	-13.2151	-13.7046	-13.3481	-12.6367	-13.3265	-13.4979	-13.2994	-13.459	-14.1447	-13.5688	-12.08	-13.9416	-14.5391	-14.2708
R__VERB_NOUN_CCONJ_VERB	5	2	plur	blow	correct	generated	Bring me wash if you proceed any votes or	0	False	1100	4	9	Bring me wash if you proceed any votes or die anything undecided . <eos>	-13.1085	-9.68721	-8.78676	-8.4491	-9.63943	-9.92183	-10.267	-10.2247	-10.448	-10.517	-9.72261	-11.5722	-10.3872	-9.11833	-10.1598	-11.3048	-9.38137	-10.7783	-8.54446	-9.47092	-9.78682	-10.2552	-11.2211	-11.5568	-9.82435	-9.17519	-8.16949	-10.0103	-9.30766	-8.76235	-10.1925	-10.5144	-8.76958	-11.2206	-7.9575	-10.0574
R__VERB_NOUN_CCONJ_VERB	5	2	plur	blows	wrong	generated	Bring me wash if you proceed any votes or	0	False	360	4	9	Bring me wash if you proceed any votes or die anything undecided . <eos>	-13.0337	-10.92	-10.2383	-10.7899	-11.0068	-10.8445	-11.9073	-11.5036	-11.221	-11.1374	-10.3575	-11.1082	-11.6431	-11.5191	-10.4709	-11.9184	-9.80498	-10.6147	-10.0729	-12.2826	-10.6739	-13.5697	-10.4159	-11.2639	-8.56667	-13.0011	-9.99171	-11.7626	-11.2095	-11.5596	-12.1442	-10.833	-10.7437	-11.6842	-10.2695	-12.4792
L__NOUN_VERB_VERB	2	6	plur	find	correct	generated	<unk> I do n't begin to the balcony that the clergy we seek or spend to	1	False	10202	6	16	Whie I do n't begin to the balcony that the clergy we seek or spend to seek no aluminum on our class ( which I respond is regularly permanent ) , it does merge me why technologies manage out a wholesale stream of trees to convince the merchant on . <eos>	-4.81565	-6.44315	-3.89394	-4.70972	-5.31677	-4.52018	-3.83258	-5.57966	-6.03847	-4.6897	-4.9198	-4.47943	-5.14712	-4.66819	-6.97399	-5.06241	-4.28591	-4.24505	-4.28063	-4.48295	-5.02567	-4.96012	-4.07021	-3.76741	-4.69187	-5.17601	-4.80457	-5.96359	-3.82761	-5.68402	-3.45245	-5.38231	-5.1674	-5.20018	-4.08611	-4.96228
L__NOUN_VERB_VERB	2	6	plur	finds	wrong	generated	<unk> I do n't begin to the balcony that the clergy we seek or spend to	1	False	3408	6	16	Whie I do n't begin to the balcony that the clergy we seek or spend to seek no aluminum on our class ( which I respond is regularly permanent ) , it does merge me why technologies manage out a wholesale stream of trees to convince the merchant on . <eos>	-17.2001	-13.6209	-14.3986	-13.0615	-14.9266	-15.4318	-14.1366	-13.6776	-14.0773	-13.8318	-14.2191	-15.1363	-13.433	-13.0813	-14.6695	-13.9005	-12.8236	-15.0003	-13.1389	-12.4943	-11.7906	-14.0129	-14.3415	-12.1496	-14.5314	-14.6601	-13.6611	-14.8176	-13.4356	-13.0515	-14.9027	-13.3932	-13.9487	-14.1287	-14.0683	-13.6265
L__NOUN_VERB_VERB	9	3	plur	spend	correct	generated	But appropriate recommendations do preserve the revision they manage he will prescribe , and the operations who listen him	1	True	2073	4	19	But appropriate recommendations do preserve the revision they manage he will prescribe , and the operations who listen him pay to attach the envelopes who extend him . <eos>	-12.9333	-11.4897	-11.9889	-12.8138	-12.129	-13.7992	-14.111	-12.6161	-13.1506	-12.4819	-11.8495	-12.2832	-13.4709	-12.0726	-11.9471	-12.4229	-11.8639	-16.6816	-11.295	-11.0804	-11.8405	-13.9101	-11.6983	-10.7138	-13.4919	-13.3413	-12.6409	-12.6157	-13.0744	-12.653	-13.432	-12.385	-11.7116	-13.8269	-13.34	-13.3572
L__NOUN_VERB_VERB	9	3	plur	spends	wrong	generated	But appropriate recommendations do preserve the revision they manage he will prescribe , and the operations who listen him	1	True	506	4	19	But appropriate recommendations do preserve the revision they manage he will prescribe , and the operations who listen him pay to attach the envelopes who extend him . <eos>	-15.3286	-13.7867	-12.7464	-13.8025	-14.1179	-15.1014	-14.9291	-13.0342	-13.8902	-13.6386	-14.5344	-13.0852	-14.0612	-13.5152	-13.688	-13.2577	-12.7097	-14.3386	-13.794	-14.6516	-13.6581	-17.1351	-13.4931	-13.4508	-14.0005	-15.3052	-15.9597	-15.3431	-14.6999	-15.1716	-14.0586	-13.8741	-13.5645	-14.7887	-15.0863	-15.4997
L__NOUN_VERB_VERB	11	1	plur	address	correct	generated	The empty wavy secretaries that widely would verify from blog	2	False	3744	7	10	The empty wavy secretaries that widely would verify from blog allow potato , tip , cycle , diversity , convinced misconception and dirty surgeons of computers and roles -- western as the Norma nightmare . <eos>	-9.51305	-9.29424	-11.2405	-9.91607	-10.2408	-9.46136	-11.5904	-10.8495	-9.36648	-9.02606	-9.51038	-7.55939	-10.723	-8.93365	-8.78834	-9.1082	-6.79512	-9.30536	-8.01217	-9.10601	-11.19	-6.6513	-7.885	-8.95044	-10.8619	-4.60315	-9.68883	-8.63254	-8.51642	-9.36291	-9.02093	-10.4138	-10.0378	-10.1206	-9.4838	-8.73123
L__NOUN_VERB_VERB	11	1	plur	addresses	wrong	generated	The empty wavy secretaries that widely would verify from blog	2	False	938	7	10	The empty wavy secretaries that widely would verify from blog allow potato , tip , cycle , diversity , convinced misconception and dirty surgeons of computers and roles -- western as the Norma nightmare . <eos>	-7.28068	-9.00835	-7.79511	-6.8238	-13.0098	-8.07025	-6.99464	-9.13353	-8.59823	-7.92268	-11.3576	-6.64427	-8.94792	-7.70114	-7.8245	-6.54754	-6.17737	-8.12343	-6.9775	-9.50072	-7.96744	-5.80656	-7.26116	-6.87159	-8.24854	-6.96243	-6.52115	-7.31526	-6.07888	-8.95704	-7.40402	-8.09751	-6.24489	-8.77728	-6.93571	-8.82422
R__VERB_NOUN_CCONJ_VERB	2	9	plur	play	correct	generated	Leaders abruptly : Phoenix three through April six ( inciting you respond on the hatred we tell and	0	True	19515	7	18	Leaders abruptly : Phoenix three through April six ( inciting you respond on the hatred we tell and seem mutually to p the poisoning after we collaborate ) <eos>	-7.21041	-6.22108	-9.10042	-7.81549	-8.428	-7.70209	-7.69007	-8.32812	-7.65107	-7.54028	-6.64079	-7.39843	-6.67044	-7.08447	-10.2865	-6.21994	-11.0819	-7.75234	-6.10395	-7.05356	-6.09064	-7.91522	-7.17555	-5.93995	-6.56362	-6.70374	-8.84598	-8.36687	-8.02715	-8.77498	-6.78133	-7.79844	-7.43483	-8.38661	-9.17341	-6.98143
R__VERB_NOUN_CCONJ_VERB	2	9	plur	plays	wrong	generated	Leaders abruptly : Phoenix three through April six ( inciting you respond on the hatred we tell and	0	True	5579	7	18	Leaders abruptly : Phoenix three through April six ( inciting you respond on the hatred we tell and seem mutually to p the poisoning after we collaborate ) <eos>	-10.2434	-7.9216	-11.249	-7.66023	-12.2169	-9.29905	-8.93661	-7.619	-9.07628	-8.91626	-8.33144	-9.76983	-10.8171	-6.6708	-6.99417	-8.16696	-10.3864	-9.38726	-7.99209	-8.42778	-6.97748	-9.3949	-7.4961	-8.55169	-7.03911	-10.5082	-8.41129	-9.03928	-8.30101	-7.67375	-9.3114	-8.94579	-10.5803	-8.92406	-9.08333	-9.22168
L__NOUN_VERB_VERB	7	6	sing	does	correct	generated	Can you emit that the colony we are pushing	0	False	18787	4	9	Can you emit that the colony we are pushing submits toward a huge and main stove ? <eos>	-9.04994	-11.8057	-11.5093	-11.7686	-9.17095	-10.9369	-9.71594	-9.73861	-10.5732	-9.54556	-10.1834	-9.0613	-10.7525	-10.5925	-11.0291	-11.7626	-10.521	-10.7919	-9.81922	-10.4171	-9.33135	-8.6936	-10.1515	-9.58765	-10.2252	-10.3051	-10.9643	-10.204	-8.75608	-9.24374	-11.2249	-10.7499	-9.7029	-9.48746	-8.78202	-11.0592
L__NOUN_VERB_VERB	7	6	sing	do	wrong	generated	Can you emit that the colony we are pushing	0	False	28089	4	9	Can you emit that the colony we are pushing submits toward a huge and main stove ? <eos>	-10.561	-10.5036	-10.682	-11.7355	-9.72168	-9.92732	-10.1392	-8.32401	-9.07272	-10.0436	-9.66894	-10.2036	-9.57524	-11.1333	-10.6775	-10.9665	-9.4585	-9.6566	-8.53542	-11.1492	-9.59658	-9.65304	-8.71257	-8.48854	-10.2576	-9.14052	-10.9709	-9.42295	-8.86332	-8.7136	-10.0721	-10.3419	-8.07471	-8.03788	-8.37044	-10.4936
L__NOUN_VERB_VERB	12	7	plur	are	correct	generated	Israeli sports that however would wander	1	False	261453	5	6	Israeli sports that however would wander eat grandchildren , club , Lieutenant route and some layers of stairs . <eos>	-7.88696	-8.70519	-8.87721	-7.72693	-9.37625	-8.41274	-8.49527	-11.058	-8.41574	-8.71522	-8.27464	-10.7951	-8.51629	-9.88787	-8.76841	-8.20382	-9.98938	-11.0009	-8.95305	-8.75738	-10.3278	-10.7084	-9.18867	-9.20525	-9.59051	-7.48529	-9.97216	-8.5854	-8.79089	-8.15431	-9.28416	-8.93584	-7.93868	-9.13695	-8.75977	-8.44195
L__NOUN_VERB_VERB	12	7	plur	is	wrong	generated	Israeli sports that however would wander	1	False	649202	5	6	Israeli sports that however would wander eat grandchildren , club , Lieutenant route and some layers of stairs . <eos>	-6.84766	-7.88534	-9.44251	-6.94079	-8.94357	-9.33131	-8.5496	-10.0428	-8.87896	-8.61293	-7.24241	-10.286	-8.79563	-7.16435	-7.91373	-10.0203	-9.10244	-8.79833	-8.74405	-7.21899	-8.64977	-10.0414	-8.37149	-10.5411	-8.40572	-6.1202	-8.68968	-10.0327	-8.23534	-9.51053	-9.01551	-8.68195	-7.09244	-10.2859	-8.15408	-8.63523
L__NOUN_VERB_VERB	8	1	sing	tends	correct	generated	Again adjust your plants to happen this aggressively to their books , and financially inevitably , so that the siege to determine her	0	True	1298	4	23	Again adjust your plants to happen this aggressively to their books , and financially inevitably , so that the siege to determine her thinks easily . <eos>	-15.9796	-15.1463	-18.1084	-17.191	-16.236	-14.6827	-16.6844	-17.9273	-14.3077	-14.5036	-16.6537	-17.3749	-14.8778	-15.5899	-15.8746	-14.8781	-17.8952	-17.3787	-15.3571	-16.6914	-16.8201	-17.3108	-15.5678	-16.1037	-17.6633	-17.4771	-14.1056	-17.02	-16.0293	-15.8933	-15.1977	-14.8715	-14.6495	-15.6776	-15.6412	-15.7491
L__NOUN_VERB_VERB	8	1	sing	tend	wrong	generated	Again adjust your plants to happen this aggressively to their books , and financially inevitably , so that the siege to determine her	0	True	3201	4	23	Again adjust your plants to happen this aggressively to their books , and financially inevitably , so that the siege to determine her thinks easily . <eos>	-15.2487	-15.3026	-18.0585	-15.9151	-16.427	-14.6231	-16.9819	-16.0401	-13.749	-13.6749	-15.2576	-17.4945	-14.1578	-15.4604	-16.8643	-15.8902	-17.7151	-16.9335	-13.8294	-14.6138	-16.4388	-16.0645	-15.4259	-17.1832	-18.5879	-16.028	-14.3951	-17.1129	-14.8139	-16.8523	-16.2922	-14.0156	-15.2263	-14.4299	-16.0485	-17.776
L__NOUN_VERB_VERB	21	8	sing	advises	correct	generated	The independent vast faith that he happens	1	False	265	4	7	The independent vast faith that he happens applies that he frequently threatens his currents and strictly pretends happy with his provincial drama . <eos>	-16.2154	-15.1908	-16.2691	-16.0124	-16.5763	-15.3243	-15.6688	-16.9936	-15.9928	-15.3048	-13.6486	-16.2691	-16.0787	-15.5608	-15.8214	-15.6419	-17.0258	-17.3433	-18.025	-15.8631	-16.6683	-15.6411	-15.634	-15.724	-16.6789	-18.9363	-16.2179	-17.5906	-14.7723	-17.4709	-16.3167	-15.2039	-15.7472	-16.5953	-16.489	-15.8069
L__NOUN_VERB_VERB	21	8	sing	advise	wrong	generated	The independent vast faith that he happens	1	False	388	4	7	The independent vast faith that he happens applies that he frequently threatens his currents and strictly pretends happy with his provincial drama . <eos>	-20.7412	-15.7833	-17.1662	-17.4055	-18.6944	-16.9678	-15.8597	-17.4251	-16.3394	-16.3633	-15.0335	-19.623	-16.6877	-16.9147	-16.3406	-15.7887	-18.7549	-19.3522	-17.178	-16.6315	-16.6118	-18.6226	-16.8115	-16.7126	-18.1199	-18.8639	-17.1834	-17.4826	-15.8717	-18.5621	-16.5298	-16.5951	-16.8313	-17.77	-16.8787	-17.7109
L__NOUN_VERB_VERB	8	6	sing	relates	correct	generated	Additionally approve your gentlemen to succeed this accordingly to their keys , and nowadays uniquely , so that the bull to remain her	0	True	782	4	23	Additionally approve your gentlemen to succeed this accordingly to their keys , and nowadays uniquely , so that the bull to remain her knows especially . <eos>	-12.825	-17.0216	-18.0159	-16.3346	-16.4034	-16.9935	-16.284	-16.0467	-16.0603	-15.7743	-17.6507	-17.0536	-15.5624	-15.5413	-16.2131	-16.8276	-15.4899	-18.6566	-18.6307	-15.9453	-18.0926	-17.5434	-17.5453	-16.6218	-15.8363	-16.1221	-15.5035	-16.2744	-14.5369	-18.195	-15.6497	-15.2858	-16.5877	-16.3428	-15.5443	-15.479
L__NOUN_VERB_VERB	8	6	sing	relate	wrong	generated	Additionally approve your gentlemen to succeed this accordingly to their keys , and nowadays uniquely , so that the bull to remain her	0	True	685	4	23	Additionally approve your gentlemen to succeed this accordingly to their keys , and nowadays uniquely , so that the bull to remain her knows especially . <eos>	-11.6486	-14.9211	-16.4117	-16.1498	-17.1789	-15.6017	-14.6259	-17.0539	-15.5624	-14.7667	-15.861	-15.0696	-14.9137	-16.5689	-14.6329	-15.025	-14.8872	-15.8532	-16.7519	-14.562	-15.5613	-15.7749	-14.0471	-14.3225	-16.3584	-14.6293	-15.3925	-15.3013	-14.5327	-16.5203	-15.0733	-14.8532	-15.55	-15.7659	-14.9576	-16.4175
L__NOUN_VERB_VERB	1	4	sing	provides	correct	generated	An internal atmosphere offered in two	0	False	7409	4	6	"An internal atmosphere offered in two submits there apply two "" mosques "" in the UK Iraqis , but overwhelming submarines are halfway healthier than this . <eos>"	-14.1494	-12.2352	-13.0682	-12.0756	-15.5065	-11.6345	-11.1544	-11.993	-11.3635	-12.4262	-14.4248	-12.7697	-11.3037	-14.316	-13.1296	-12.3177	-10.3034	-14.0808	-11.9313	-14.0564	-11.4189	-13.0085	-14.5409	-13.1796	-12.6949	-11.828	-12.3217	-14.0284	-13.165	-13.9673	-12.4404	-11.6117	-12.0648	-12.8874	-12.1591	-13.1504
L__NOUN_VERB_VERB	1	4	sing	provide	wrong	generated	An internal atmosphere offered in two	0	False	12768	4	6	"An internal atmosphere offered in two submits there apply two "" mosques "" in the UK Iraqis , but overwhelming submarines are halfway healthier than this . <eos>"	-12.7176	-11.9853	-13.1972	-12.9687	-17.6767	-12.1668	-12.4441	-14.7635	-12.4549	-12.1677	-14.03	-13.7517	-11.5333	-13.7313	-13.7373	-12.4931	-11.9526	-11.527	-13.2266	-13.5312	-12.3034	-15.6948	-13.2427	-13.248	-14.0887	-15.5706	-14.0924	-13.5067	-13.5264	-14.1642	-12.2827	-12.0451	-13.0393	-10.7535	-12.4722	-12.1819
